Community,LocationNight,FrequencyNight
C49,TAXICAB,1
C49,PORCH,1
C49,MEDICAL/DENTAL OFFICE,1
C49,HOUSE,1
C49,VEHICLE - OTHER RIDE SERVICE,1
C5,STREET,96
C5,RESIDENCE,59
C5,RESIDENCE-GARAGE,27
C5,SIDEWALK,20
C5,APARTMENT,19
C5,RESIDENCE PORCH/HALLWAY,13
C5,OTHER,13
C5,BAR OR TAVERN,13
C5,PARKING LOT/GARAGE(NON.RESID.),11
C5,VEHICLE NON-COMMERCIAL,11
C5,RESTAURANT,9
C5,ALLEY,9
C5,GROCERY FOOD STORE,9
C5,SMALL RETAIL STORE,7
C5,BOWLING ALLEY,6
C5,PARK PROPERTY,5
C5,POLICE FACILITY/VEH PARKING LOT,5
C5,TAXICAB,4
C5,RESIDENTIAL YARD (FRONT/BACK),4
C5,CONVENIENCE STORE,4
C5,GAS STATION,3
C5,DRUG STORE,3
C5,COMMERCIAL / BUSINESS OFFICE,3
C5,ATM (AUTOMATIC TELLER MACHINE),3
C5,VEHICLE - OTHER RIDE SERVICE,2
C5,"SCHOOL, PUBLIC, BUILDING",2
C5,VEHICLE-COMMERCIAL,1
C5,SPORTS ARENA/STADIUM,1
C5,"SCHOOL, PUBLIC, GROUNDS",1
C5,CAR WASH,1
C5,ATHLETIC CLUB,1
C5,CTA TRAIN,1
C5,VACANT LOT/LAND,1
C50,STREET,68
C50,RESIDENCE,64
C50,APARTMENT,15
C50,POLICE FACILITY/VEH PARKING LOT,11
C50,DEPARTMENT STORE,10
C50,GAS STATION,9
C50,SIDEWALK,8
C50,RESIDENCE-GARAGE,8
C50,RESIDENTIAL YARD (FRONT/BACK),7
C50,PARKING LOT/GARAGE(NON.RESID.),7
C50,OTHER,6
C50,VEHICLE NON-COMMERCIAL,5
C50,ALLEY,5
C50,GROCERY FOOD STORE,3
C50,RESIDENCE PORCH/HALLWAY,3
C50,JAIL / LOCK-UP FACILITY,2
C50,SMALL RETAIL STORE,2
C50,DRIVEWAY - RESIDENTIAL,1
C50,CTA BUS,1
C50,PARK PROPERTY,1
C50,COLLEGE/UNIVERSITY GROUNDS,1
C50,CTA GARAGE / OTHER PROPERTY,1
C50,VEHICLE-COMMERCIAL,1
C50,SPORTS ARENA/STADIUM,1
C50,RESTAURANT,1
C50,FACTORY/MANUFACTURING BUILDING,1
C51,RESIDENCE,166
C51,STREET,108
C51,APARTMENT,27
C51,SIDEWALK,27
C51,GAS STATION,16
C51,OTHER,16
C51,RESIDENTIAL YARD (FRONT/BACK),14
C51,PARKING LOT/GARAGE(NON.RESID.),14
C51,CHA APARTMENT,13
C51,CHA PARKING LOT/GROUNDS,12
C51,VEHICLE NON-COMMERCIAL,10
C51,ALLEY,9
C51,POLICE FACILITY/VEH PARKING LOT,8
C51,RESIDENCE-GARAGE,5
C51,RESIDENCE PORCH/HALLWAY,4
C51,GOVERNMENT BUILDING/PROPERTY,3
C51,RESTAURANT,3
C51,BAR OR TAVERN,2
C51,GROCERY FOOD STORE,2
C51,BANK,2
C51,DRIVEWAY - RESIDENTIAL,2
C51,ATM (AUTOMATIC TELLER MACHINE),2
C51,JAIL / LOCK-UP FACILITY,2
C51,TAVERN/LIQUOR STORE,2
C51,CTA BUS,2
C51,HIGHWAY/EXPRESSWAY,2
C51,DEPARTMENT STORE,2
C51,TAXICAB,1
C51,VACANT LOT/LAND,1
C51,CTA GARAGE / OTHER PROPERTY,1
C51,"SCHOOL, PUBLIC, GROUNDS",1
C51,CTA BUS STOP,1
C51,COMMERCIAL / BUSINESS OFFICE,1
C51,SMALL RETAIL STORE,1
C51,ABANDONED BUILDING,1
C51,WAREHOUSE,1
C51,YARD,1
C52,RESIDENCE,140
C52,STREET,123
C52,APARTMENT,35
C52,SIDEWALK,26
C52,ALLEY,18
C52,VEHICLE NON-COMMERCIAL,15
C52,RESIDENCE-GARAGE,14
C52,RESIDENTIAL YARD (FRONT/BACK),9
C52,OTHER,7
C52,PARKING LOT/GARAGE(NON.RESID.),6
C52,SMALL RETAIL STORE,4
C52,CONVENIENCE STORE,4
C52,RESTAURANT,3
C52,DRIVEWAY - RESIDENTIAL,3
C52,PARK PROPERTY,3
C52,RESIDENCE PORCH/HALLWAY,2
C52,AUTO,2
C52,TAVERN/LIQUOR STORE,2
C52,BAR OR TAVERN,2
C52,COMMERCIAL / BUSINESS OFFICE,1
C52,OTHER RAILROAD PROP / TRAIN DEPOT,1
C52,WAREHOUSE,1
C52,"SCHOOL, PRIVATE, BUILDING",1
C52,HIGHWAY/EXPRESSWAY,1
C52,TAXICAB,1
C52,VEHICLE-COMMERCIAL,1
C52,SPORTS ARENA/STADIUM,1
C52,GROCERY FOOD STORE,1
C52,VACANT LOT/LAND,1
C53,RESIDENCE,447
C53,STREET,323
C53,APARTMENT,95
C53,SIDEWALK,73
C53,RESIDENCE PORCH/HALLWAY,29
C53,RESIDENCE-GARAGE,26
C53,RESIDENTIAL YARD (FRONT/BACK),25
C53,ALLEY,24
C53,GAS STATION,20
C53,OTHER,18
C53,VEHICLE NON-COMMERCIAL,18
C53,PARKING LOT/GARAGE(NON.RESID.),17
C53,DRIVEWAY - RESIDENTIAL,11
C53,RESTAURANT,7
C53,CONVENIENCE STORE,4
C53,SMALL RETAIL STORE,4
C53,BANK,3
C53,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
C53,POOL ROOM,2
C53,VEHICLE-COMMERCIAL,2
C53,HOUSE,2
C53,"SCHOOL, PUBLIC, BUILDING",2
C53,DRUG STORE,2
C53,ABANDONED BUILDING,1
C53,CTA BUS,1
C53,APPLIANCE STORE,1
C53,HIGHWAY/EXPRESSWAY,1
C53,BAR OR TAVERN,1
C53,OTHER COMMERCIAL TRANSPORTATION,1
C53,GROCERY FOOD STORE,1
C53,VACANT LOT/LAND,1
C53,"SCHOOL, PUBLIC, GROUNDS",1
C53,COMMERCIAL / BUSINESS OFFICE,1
C53,CURRENCY EXCHANGE,1
C54,STREET,86
C54,RESIDENCE,79
C54,CHA APARTMENT,56
C54,APARTMENT,53
C54,CHA PARKING LOT/GROUNDS,30
C54,SIDEWALK,15
C54,PARKING LOT/GARAGE(NON.RESID.),12
C54,RESIDENTIAL YARD (FRONT/BACK),11
C54,OTHER,10
C54,RESIDENCE PORCH/HALLWAY,6
C54,VEHICLE NON-COMMERCIAL,4
C54,DRIVEWAY - RESIDENTIAL,2
C54,COMMERCIAL / BUSINESS OFFICE,2
C54,OTHER COMMERCIAL TRANSPORTATION,1
C54,TAXICAB,1
C54,"SCHOOL, PUBLIC, GROUNDS",1
C54,CTA BUS STOP,1
C54,"SCHOOL, PUBLIC, BUILDING",1
C54,SMALL RETAIL STORE,1
C54,WAREHOUSE,1
C55,RESIDENCE,59
C55,STREET,53
C55,PARKING LOT/GARAGE(NON.RESID.),19
C55,APARTMENT,16
C55,SIDEWALK,10
C55,RESIDENCE-GARAGE,10
C55,RESIDENTIAL YARD (FRONT/BACK),9
C55,DRIVEWAY - RESIDENTIAL,8
C55,VEHICLE NON-COMMERCIAL,6
C55,ALLEY,5
C55,OTHER,4
C55,WAREHOUSE,3
C55,FACTORY/MANUFACTURING BUILDING,3
C55,TAVERN/LIQUOR STORE,2
C55,COMMERCIAL / BUSINESS OFFICE,2
C55,ATHLETIC CLUB,1
C55,PARK PROPERTY,1
C55,DEPARTMENT STORE,1
C55,CTA STATION,1
C55,RESTAURANT,1
C56,RESIDENCE,137
C56,STREET,134
C56,RESIDENCE-GARAGE,30
C56,PARKING LOT/GARAGE(NON.RESID.),20
C56,APARTMENT,18
C56,RESIDENTIAL YARD (FRONT/BACK),16
C56,VEHICLE NON-COMMERCIAL,15
C56,SIDEWALK,15
C56,OTHER,14
C56,ALLEY,13
C56,CTA TRAIN,13
C56,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,9
C56,GAS STATION,9
C56,RESTAURANT,7
C56,HOTEL/MOTEL,7
C56,AIRCRAFT,6
C56,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,6
C56,AIRPORT EXTERIOR - NON-SECURE AREA,6
C56,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,5
C56,AIRPORT PARKING LOT,5
C56,BAR OR TAVERN,5
C56,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,5
C56,RESIDENCE PORCH/HALLWAY,5
C56,AIRPORT/AIRCRAFT,4
C56,GROCERY FOOD STORE,4
C56,COMMERCIAL / BUSINESS OFFICE,4
C56,CTA GARAGE / OTHER PROPERTY,3
C56,PARK PROPERTY,2
C56,OTHER COMMERCIAL TRANSPORTATION,2
C56,CONVENIENCE STORE,2
C56,TAXICAB,2
C56,"SCHOOL, PUBLIC, BUILDING",2
C56,AIRPORT EXTERIOR - SECURE AREA,2
C56,NURSING HOME/RETIREMENT HOME,2
C56,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,2
C56,SMALL RETAIL STORE,2
C56,DRIVEWAY - RESIDENTIAL,2
C56,CTA TRACKS - RIGHT OF WAY,2
C56,AIRPORT VENDING ESTABLISHMENT,1
C56,ATM (AUTOMATIC TELLER MACHINE),1
C56,DEPARTMENT STORE,1
C56,HIGHWAY/EXPRESSWAY,1
C56,CTA STATION,1
C56,VACANT LOT/LAND,1
C56,CTA BUS STOP,1
C56,BANK,1
C56,CURRENCY EXCHANGE,1
C56,AUTO,1
C57,STREET,82
C57,RESIDENCE,50
C57,PARKING LOT/GARAGE(NON.RESID.),19
C57,RESIDENCE-GARAGE,12
C57,APARTMENT,11
C57,OTHER,10
C57,ALLEY,8
C57,SIDEWALK,8
C57,VEHICLE NON-COMMERCIAL,8
C57,SMALL RETAIL STORE,5
C57,RESIDENTIAL YARD (FRONT/BACK),4
C57,HOTEL/MOTEL,4
C57,FACTORY/MANUFACTURING BUILDING,3
C57,RESTAURANT,3
C57,GAS STATION,2
C57,COMMERCIAL / BUSINESS OFFICE,2
C57,AUTO,2
C57,ATM (AUTOMATIC TELLER MACHINE),2
C57,PARK PROPERTY,2
C57,BAR OR TAVERN,2
C57,CAR WASH,1
C57,"SCHOOL, PUBLIC, BUILDING",1
C57,DRUG STORE,1
C57,OTHER RAILROAD PROP / TRAIN DEPOT,1
C57,"SCHOOL, PRIVATE, GROUNDS",1
C57,DEPARTMENT STORE,1
C57,WAREHOUSE,1
C57,GROCERY FOOD STORE,1
C58,STREET,246
C58,RESIDENCE,155
C58,APARTMENT,85
C58,SIDEWALK,58
C58,PARKING LOT/GARAGE(NON.RESID.),32
C58,OTHER,29
C58,ALLEY,29
C58,RESIDENCE-GARAGE,29
C58,RESIDENTIAL YARD (FRONT/BACK),17
C58,VEHICLE NON-COMMERCIAL,13
C58,GAS STATION,12
C58,RESTAURANT,9
C58,BAR OR TAVERN,8
C58,DRIVEWAY - RESIDENTIAL,7
C58,RESIDENCE PORCH/HALLWAY,6
C58,SMALL RETAIL STORE,5
C58,WAREHOUSE,4
C58,TAVERN/LIQUOR STORE,4
C58,COMMERCIAL / BUSINESS OFFICE,3
C58,CTA BUS STOP,3
C58,AUTO,2
C58,YARD,2
C58,CTA BUS,2
C58,DEPARTMENT STORE,2
C58,BARBERSHOP,2
C58,SPORTS ARENA/STADIUM,2
C58,CURRENCY EXCHANGE,2
C58,ABANDONED BUILDING,1
C58,JAIL / LOCK-UP FACILITY,1
C58,PARK PROPERTY,1
C58,POLICE FACILITY/VEH PARKING LOT,1
C58,POOL ROOM,1
C58,CONVENIENCE STORE,1
C58,CTA STATION,1
C58,GROCERY FOOD STORE,1
C58,"SCHOOL, PUBLIC, BUILDING",1
C58,VEHICLE - OTHER RIDE SERVICE,1
C58,HOSPITAL BUILDING/GROUNDS,1
C58,BANK,1
C58,ATHLETIC CLUB,1
C58,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C58,DRUG STORE,1
C59,STREET,157
C59,RESIDENCE,52
C59,APARTMENT,32
C59,SIDEWALK,13
C59,OTHER,10
C59,RESIDENCE-GARAGE,9
C59,VEHICLE NON-COMMERCIAL,8
C59,RESIDENTIAL YARD (FRONT/BACK),8
C59,PARKING LOT/GARAGE(NON.RESID.),7
C59,ALLEY,6
C59,RESTAURANT,5
C59,GAS STATION,4
C59,COMMERCIAL / BUSINESS OFFICE,3
C59,PARK PROPERTY,3
C59,TAXICAB,2
C59,CTA STATION,2
C59,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C59,OTHER RAILROAD PROP / TRAIN DEPOT,2
C59,DEPARTMENT STORE,2
C59,VEHICLE-COMMERCIAL,1
C59,GOVERNMENT BUILDING/PROPERTY,1
C59,GROCERY FOOD STORE,1
C59,CTA PLATFORM,1
C59,SMALL RETAIL STORE,1
C59,RESIDENCE PORCH/HALLWAY,1
C59,BANK,1
C59,CTA TRAIN,1
C59,ATM (AUTOMATIC TELLER MACHINE),1
C59,"SCHOOL, PRIVATE, BUILDING",1
C6,STREET,395
C6,SIDEWALK,260
C6,BAR OR TAVERN,241
C6,APARTMENT,201
C6,RESIDENCE,172
C6,RESTAURANT,68
C6,OTHER,66
C6,ALLEY,55
C6,PARKING LOT/GARAGE(NON.RESID.),42
C6,RESIDENCE-GARAGE,39
C6,SMALL RETAIL STORE,37
C6,RESIDENCE PORCH/HALLWAY,35
C6,CONVENIENCE STORE,33
C6,RESIDENTIAL YARD (FRONT/BACK),32
C6,GROCERY FOOD STORE,32
C6,CTA TRAIN,22
C6,PARK PROPERTY,20
C6,VEHICLE NON-COMMERCIAL,20
C6,ATM (AUTOMATIC TELLER MACHINE),18
C6,TAVERN/LIQUOR STORE,18
C6,TAXICAB,14
C6,SPORTS ARENA/STADIUM,11
C6,CTA PLATFORM,11
C6,GAS STATION,10
C6,DRUG STORE,9
C6,CTA STATION,8
C6,HOSPITAL BUILDING/GROUNDS,8
C6,COMMERCIAL / BUSINESS OFFICE,7
C6,HOTEL/MOTEL,7
C6,ATHLETIC CLUB,7
C6,BANK,6
C6,CONSTRUCTION SITE,5
C6,DEPARTMENT STORE,5
C6,VEHICLE - OTHER RIDE SERVICE,5
C6,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
C6,CHA APARTMENT,3
C6,MOVIE HOUSE/THEATER,3
C6,DRIVEWAY - RESIDENTIAL,3
C6,CTA BUS,2
C6,POLICE FACILITY/VEH PARKING LOT,2
C6,NURSING HOME/RETIREMENT HOME,2
C6,CTA BUS STOP,2
C6,"SCHOOL, PRIVATE, GROUNDS",1
C6,CTA TRACKS - RIGHT OF WAY,1
C6,BARBERSHOP,1
C6,APPLIANCE STORE,1
C6,MEDICAL/DENTAL OFFICE,1
C60,STREET,151
C60,RESIDENCE,98
C60,APARTMENT,45
C60,RESIDENCE-GARAGE,25
C60,SIDEWALK,24
C60,OTHER,15
C60,ALLEY,13
C60,RESTAURANT,12
C60,RESIDENTIAL YARD (FRONT/BACK),11
C60,VEHICLE NON-COMMERCIAL,9
C60,RESIDENCE PORCH/HALLWAY,9
C60,PARKING LOT/GARAGE(NON.RESID.),9
C60,BAR OR TAVERN,7
C60,POLICE FACILITY/VEH PARKING LOT,6
C60,COMMERCIAL / BUSINESS OFFICE,5
C60,GAS STATION,3
C60,SMALL RETAIL STORE,3
C60,PARK PROPERTY,3
C60,CONVENIENCE STORE,2
C60,DRIVEWAY - RESIDENTIAL,2
C60,MEDICAL/DENTAL OFFICE,1
C60,BRIDGE,1
C60,VEHICLE - OTHER RIDE SERVICE,1
C60,CHA APARTMENT,1
C60,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C60,HALLWAY,1
C60,ATM (AUTOMATIC TELLER MACHINE),1
C60,CREDIT UNION,1
C60,CTA BUS,1
C60,TAVERN/LIQUOR STORE,1
C61,STREET,471
C61,APARTMENT,234
C61,RESIDENCE,225
C61,SIDEWALK,116
C61,VEHICLE NON-COMMERCIAL,47
C61,RESIDENTIAL YARD (FRONT/BACK),43
C61,ALLEY,39
C61,OTHER,34
C61,PARKING LOT/GARAGE(NON.RESID.),26
C61,GAS STATION,18
C61,RESIDENCE PORCH/HALLWAY,15
C61,RESIDENCE-GARAGE,15
C61,RESTAURANT,9
C61,SMALL RETAIL STORE,9
C61,GROCERY FOOD STORE,9
C61,DEPARTMENT STORE,7
C61,BAR OR TAVERN,7
C61,VACANT LOT/LAND,6
C61,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
C61,DRIVEWAY - RESIDENTIAL,5
C61,TAVERN/LIQUOR STORE,5
C61,CONVENIENCE STORE,5
C61,WAREHOUSE,4
C61,OTHER RAILROAD PROP / TRAIN DEPOT,3
C61,CTA BUS,3
C61,HOTEL/MOTEL,3
C61,PARK PROPERTY,3
C61,SPORTS ARENA/STADIUM,3
C61,"SCHOOL, PUBLIC, GROUNDS",2
C61,VEHICLE-COMMERCIAL,2
C61,NURSING HOME/RETIREMENT HOME,2
C61,HOUSE,2
C61,VEHICLE - OTHER RIDE SERVICE,1
C61,"SCHOOL, PUBLIC, BUILDING",1
C61,CLUB,1
C61,"SCHOOL, PRIVATE, GROUNDS",1
C61,CLEANING STORE,1
C61,CURRENCY EXCHANGE,1
C61,CREDIT UNION,1
C61,ATM (AUTOMATIC TELLER MACHINE),1
C61,BARBERSHOP,1
C61,POOL ROOM,1
C61,GOVERNMENT BUILDING/PROPERTY,1
C61,OTHER COMMERCIAL TRANSPORTATION,1
C61,CTA STATION,1
C62,STREET,101
C62,RESIDENCE,68
C62,APARTMENT,22
C62,RESIDENCE-GARAGE,18
C62,SIDEWALK,10
C62,ALLEY,10
C62,OTHER,8
C62,PARKING LOT/GARAGE(NON.RESID.),8
C62,RESIDENTIAL YARD (FRONT/BACK),7
C62,VEHICLE NON-COMMERCIAL,6
C62,CTA TRAIN,5
C62,RESTAURANT,5
C62,CTA GARAGE / OTHER PROPERTY,3
C62,GROCERY FOOD STORE,3
C62,GAS STATION,3
C62,PARK PROPERTY,2
C62,CONVENIENCE STORE,2
C62,CTA STATION,2
C62,"SCHOOL, PRIVATE, BUILDING",1
C62,TAXICAB,1
C62,VEHICLE-COMMERCIAL,1
C62,SPORTS ARENA/STADIUM,1
C62,BAR OR TAVERN,1
C62,"SCHOOL, PUBLIC, BUILDING",1
C62,RESIDENCE PORCH/HALLWAY,1
C62,CURRENCY EXCHANGE,1
C62,DRIVEWAY - RESIDENTIAL,1
C62,CREDIT UNION,1
C63,STREET,204
C63,RESIDENCE,158
C63,APARTMENT,62
C63,SIDEWALK,48
C63,ALLEY,28
C63,RESIDENCE-GARAGE,23
C63,PARKING LOT/GARAGE(NON.RESID.),20
C63,VEHICLE NON-COMMERCIAL,18
C63,RESIDENTIAL YARD (FRONT/BACK),18
C63,OTHER,15
C63,RESIDENCE PORCH/HALLWAY,12
C63,RESTAURANT,12
C63,BAR OR TAVERN,11
C63,PARK PROPERTY,6
C63,GAS STATION,5
C63,DRUG STORE,5
C63,DRIVEWAY - RESIDENTIAL,5
C63,DEPARTMENT STORE,5
C63,CONVENIENCE STORE,4
C63,CTA BUS STOP,4
C63,GROCERY FOOD STORE,3
C63,SMALL RETAIL STORE,3
C63,CLEANING STORE,3
C63,COMMERCIAL / BUSINESS OFFICE,2
C63,"SCHOOL, PUBLIC, GROUNDS",2
C63,OTHER RAILROAD PROP / TRAIN DEPOT,2
C63,TAVERN/LIQUOR STORE,2
C63,NURSING HOME/RETIREMENT HOME,1
C63,"SCHOOL, PUBLIC, BUILDING",1
C63,ATHLETIC CLUB,1
C63,CTA PLATFORM,1
C63,VEHICLE - OTHER RIDE SERVICE,1
C63,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C63,CTA TRAIN,1
C63,POLICE FACILITY/VEH PARKING LOT,1
C64,RESIDENCE,80
C64,STREET,75
C64,APARTMENT,26
C64,OTHER,16
C64,RESIDENCE-GARAGE,15
C64,SIDEWALK,14
C64,PARKING LOT/GARAGE(NON.RESID.),12
C64,RESIDENTIAL YARD (FRONT/BACK),12
C64,VEHICLE NON-COMMERCIAL,6
C64,ALLEY,5
C64,DRIVEWAY - RESIDENTIAL,4
C64,RESTAURANT,2
C64,TAVERN/LIQUOR STORE,2
C64,RESIDENCE PORCH/HALLWAY,2
C64,GAS STATION,2
C64,DRUG STORE,1
C64,FACTORY/MANUFACTURING BUILDING,1
C64,SMALL RETAIL STORE,1
C64,COMMERCIAL / BUSINESS OFFICE,1
C64,WAREHOUSE,1
C64,CONVENIENCE STORE,1
C64,BARBERSHOP,1
C64,BAR OR TAVERN,1
C64,HOUSE,1
C64,TAXICAB,1
C64,CAR WASH,1
C65,STREET,159
C65,RESIDENCE,117
C65,RESIDENCE-GARAGE,39
C65,APARTMENT,25
C65,SIDEWALK,24
C65,PARKING LOT/GARAGE(NON.RESID.),16
C65,VEHICLE NON-COMMERCIAL,15
C65,RESIDENTIAL YARD (FRONT/BACK),12
C65,OTHER,12
C65,DEPARTMENT STORE,9
C65,GAS STATION,8
C65,ALLEY,8
C65,RESTAURANT,5
C65,SMALL RETAIL STORE,5
C65,CONVENIENCE STORE,4
C65,RESIDENCE PORCH/HALLWAY,4
C65,"SCHOOL, PUBLIC, BUILDING",3
C65,MOVIE HOUSE/THEATER,3
C65,HOTEL/MOTEL,2
C65,CTA GARAGE / OTHER PROPERTY,2
C65,COMMERCIAL / BUSINESS OFFICE,2
C65,CTA BUS,1
C65,VEHICLE-COMMERCIAL,1
C65,AIRPORT PARKING LOT,1
C65,GROCERY FOOD STORE,1
C65,FACTORY/MANUFACTURING BUILDING,1
C65,MEDICAL/DENTAL OFFICE,1
C65,BANK,1
C65,DRIVEWAY - RESIDENTIAL,1
C65,DRUG STORE,1
C65,DAY CARE CENTER,1
C65,AUTO,1
C66,STREET,476
C66,RESIDENCE,346
C66,APARTMENT,272
C66,SIDEWALK,150
C66,RESIDENCE-GARAGE,63
C66,VEHICLE NON-COMMERCIAL,48
C66,RESIDENTIAL YARD (FRONT/BACK),47
C66,ALLEY,35
C66,OTHER,32
C66,GAS STATION,25
C66,PARKING LOT/GARAGE(NON.RESID.),25
C66,RESIDENCE PORCH/HALLWAY,22
C66,SMALL RETAIL STORE,19
