Community,LocationNight,FrequencyNight
C66,HOSPITAL BUILDING/GROUNDS,17
C66,RESTAURANT,15
C66,CONVENIENCE STORE,12
C66,VACANT LOT/LAND,7
C66,DRIVEWAY - RESIDENTIAL,7
C66,BAR OR TAVERN,7
C66,COMMERCIAL / BUSINESS OFFICE,6
C66,CTA BUS STOP,5
C66,POLICE FACILITY/VEH PARKING LOT,4
C66,BANK,3
C66,CURRENCY EXCHANGE,3
C66,ABANDONED BUILDING,3
C66,CTA BUS,3
C66,VEHICLE-COMMERCIAL,3
C66,CAR WASH,2
C66,"SCHOOL, PUBLIC, BUILDING",2
C66,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C66,ANIMAL HOSPITAL,2
C66,OTHER RAILROAD PROP / TRAIN DEPOT,2
C66,AUTO,2
C66,TAVERN/LIQUOR STORE,2
C66,BARBERSHOP,2
C66,PARK PROPERTY,2
C66,TAXICAB,2
C66,GROCERY FOOD STORE,1
C66,FACTORY/MANUFACTURING BUILDING,1
C66,CLEANING STORE,1
C66,DRUG STORE,1
C66,JAIL / LOCK-UP FACILITY,1
C66,APPLIANCE STORE,1
C66,HOTEL/MOTEL,1
C67,RESIDENCE,608
C67,STREET,559
C67,SIDEWALK,206
C67,APARTMENT,200
C67,GAS STATION,56
C67,RESIDENTIAL YARD (FRONT/BACK),46
C67,RESIDENCE PORCH/HALLWAY,44
C67,VEHICLE NON-COMMERCIAL,42
C67,ALLEY,35
C67,PARKING LOT/GARAGE(NON.RESID.),26
C67,OTHER,23
C67,RESTAURANT,21
C67,RESIDENCE-GARAGE,20
C67,CTA TRAIN,14
C67,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13
C67,CTA GARAGE / OTHER PROPERTY,11
C67,VACANT LOT/LAND,11
C67,GROCERY FOOD STORE,10
C67,PARK PROPERTY,9
C67,POLICE FACILITY/VEH PARKING LOT,9
C67,ABANDONED BUILDING,6
C67,CONVENIENCE STORE,6
C67,HOTEL/MOTEL,5
C67,CTA BUS,5
C67,DRIVEWAY - RESIDENTIAL,4
C67,VEHICLE-COMMERCIAL,4
C67,CTA BUS STOP,4
C67,BANK,3
C67,TAVERN/LIQUOR STORE,3
C67,BAR OR TAVERN,3
C67,GOVERNMENT BUILDING/PROPERTY,3
C67,"SCHOOL, PUBLIC, BUILDING",3
C67,SMALL RETAIL STORE,3
C67,JAIL / LOCK-UP FACILITY,2
C67,TAXICAB,2
C67,CTA STATION,2
C67,VEHICLE - OTHER RIDE SERVICE,2
C67,CHA APARTMENT,1
C67,COIN OPERATED MACHINE,1
C67,YARD,1
C67,AUTO,1
C67,CONSTRUCTION SITE,1
C67,DEPARTMENT STORE,1
C67,WAREHOUSE,1
C67,"SCHOOL, PRIVATE, BUILDING",1
C67,BARBERSHOP,1
C67,NURSING HOME/RETIREMENT HOME,1
C67,CAR WASH,1
C67,CTA PLATFORM,1
C67,COMMERCIAL / BUSINESS OFFICE,1
C67,OTHER RAILROAD PROP / TRAIN DEPOT,1
C68,STREET,543
C68,RESIDENCE,411
C68,APARTMENT,273
C68,SIDEWALK,168
C68,GAS STATION,69
C68,RESIDENTIAL YARD (FRONT/BACK),57
C68,VEHICLE NON-COMMERCIAL,48
C68,RESIDENCE PORCH/HALLWAY,40
C68,OTHER,36
C68,ALLEY,33
C68,PARKING LOT/GARAGE(NON.RESID.),20
C68,HOSPITAL BUILDING/GROUNDS,19
C68,CTA TRAIN,11
C68,CTA BUS STOP,10
C68,VACANT LOT/LAND,6
C68,RESTAURANT,6
C68,COMMERCIAL / BUSINESS OFFICE,6
C68,GROCERY FOOD STORE,5
C68,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
C68,CTA BUS,5
C68,CTA STATION,4
C68,CTA PLATFORM,4
C68,SMALL RETAIL STORE,4
C68,DRIVEWAY - RESIDENTIAL,4
C68,PARK PROPERTY,3
C68,CONVENIENCE STORE,3
C68,BAR OR TAVERN,3
C68,PORCH,3
C68,ABANDONED BUILDING,3
C68,CHA APARTMENT,3
C68,BARBERSHOP,2
C68,COLLEGE/UNIVERSITY GROUNDS,2
C68,TAXICAB,2
C68,DRUG STORE,2
C68,RESIDENCE-GARAGE,2
C68,AUTO,2
C68,YARD,2
C68,TAVERN/LIQUOR STORE,2
C68,CONSTRUCTION SITE,1
C68,DEPARTMENT STORE,1
C68,APPLIANCE STORE,1
C68,VEHICLE-COMMERCIAL,1
C68,"SCHOOL, PUBLIC, GROUNDS",1
C68,BANK,1
C68,ANIMAL HOSPITAL,1
C68,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C68,OTHER RAILROAD PROP / TRAIN DEPOT,1
C68,FIRE STATION,1
C68,CHA PARKING LOT/GROUNDS,1
C68,HOTEL/MOTEL,1
C69,STREET,580
C69,APARTMENT,470
C69,RESIDENCE,343
C69,SIDEWALK,157
C69,GAS STATION,72
C69,VEHICLE NON-COMMERCIAL,48
C69,PARKING LOT/GARAGE(NON.RESID.),42
C69,OTHER,42
C69,RESTAURANT,37
C69,ALLEY,35
C69,RESIDENTIAL YARD (FRONT/BACK),33
C69,RESIDENCE PORCH/HALLWAY,25
C69,RESIDENCE-GARAGE,14
C69,SMALL RETAIL STORE,14
C69,BAR OR TAVERN,13
C69,CTA BUS,11
C69,HOTEL/MOTEL,10
C69,CTA PLATFORM,8
C69,DRUG STORE,8
C69,CTA STATION,7
C69,VACANT LOT/LAND,7
C69,COMMERCIAL / BUSINESS OFFICE,5
C69,CHA HALLWAY/STAIRWELL/ELEVATOR,5
C69,CURRENCY EXCHANGE,5
C69,ABANDONED BUILDING,5
C69,CTA TRAIN,5
C69,CTA BUS STOP,4
C69,CONVENIENCE STORE,4
C69,GROCERY FOOD STORE,4
C69,"SCHOOL, PUBLIC, BUILDING",3
C69,PARK PROPERTY,3
C69,DRIVEWAY - RESIDENTIAL,2
C69,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C69,OTHER RAILROAD PROP / TRAIN DEPOT,2
C69,WAREHOUSE,2
C69,TAVERN/LIQUOR STORE,2
C69,HIGHWAY/EXPRESSWAY,2
C69,DEPARTMENT STORE,2
C69,CTA GARAGE / OTHER PROPERTY,2
C69,"SCHOOL, PUBLIC, GROUNDS",1
C69,VEHICLE - OTHER RIDE SERVICE,1
C69,CHA APARTMENT,1
C69,COIN OPERATED MACHINE,1
C69,CHA PARKING LOT/GROUNDS,1
C69,BARBERSHOP,1
C69,VEHICLE-COMMERCIAL,1
C69,SPORTS ARENA/STADIUM,1
C7,STREET,305
C7,APARTMENT,101
C7,RESIDENCE,94
C7,BAR OR TAVERN,91
C7,SIDEWALK,89
C7,OTHER,46
C7,RESTAURANT,39
C7,RESIDENCE-GARAGE,32
C7,PARKING LOT/GARAGE(NON.RESID.),31
C7,VEHICLE NON-COMMERCIAL,27
C7,SMALL RETAIL STORE,26
C7,ALLEY,25
C7,RESIDENCE PORCH/HALLWAY,22
C7,TAVERN/LIQUOR STORE,15
C7,RESIDENTIAL YARD (FRONT/BACK),14
C7,TAXICAB,13
C7,PARK PROPERTY,12
C7,GROCERY FOOD STORE,10
C7,DRUG STORE,10
C7,DEPARTMENT STORE,10
C7,GAS STATION,9
C7,HOTEL/MOTEL,8
C7,ATM (AUTOMATIC TELLER MACHINE),8
C7,CONVENIENCE STORE,7
C7,ATHLETIC CLUB,7
C7,CTA TRAIN,6
C7,NURSING HOME/RETIREMENT HOME,5
C7,COLLEGE/UNIVERSITY RESIDENCE HALL,4
C7,CONSTRUCTION SITE,4
C7,VEHICLE-COMMERCIAL,3
C7,CTA STATION,3
C7,CTA PLATFORM,3
C7,COMMERCIAL / BUSINESS OFFICE,3
C7,CHA APARTMENT,3
C7,VACANT LOT/LAND,2
C7,CTA GARAGE / OTHER PROPERTY,2
C7,VEHICLE - OTHER RIDE SERVICE,2
C7,DRIVEWAY - RESIDENTIAL,2
C7,CHA PARKING LOT/GROUNDS,2
C7,COLLEGE/UNIVERSITY GROUNDS,1
C7,BARBERSHOP,1
C7,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C7,"SCHOOL, PUBLIC, BUILDING",1
C7,MOVIE HOUSE/THEATER,1
C7,FACTORY/MANUFACTURING BUILDING,1
C7,LIBRARY,1
C7,BANK,1
C7,CTA BUS STOP,1
C7,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C7,VEHICLE - DELIVERY TRUCK,1
C7,AUTO,1
C7,WAREHOUSE,1
C7,"SCHOOL, PRIVATE, BUILDING",1
C70,RESIDENCE,192
C70,STREET,191
C70,OTHER,36
C70,SIDEWALK,26
C70,APARTMENT,25
C70,PARKING LOT/GARAGE(NON.RESID.),23
C70,RESIDENCE-GARAGE,21
C70,DRIVEWAY - RESIDENTIAL,20
C70,RESIDENTIAL YARD (FRONT/BACK),20
C70,GAS STATION,19
C70,VEHICLE NON-COMMERCIAL,17
C70,RESTAURANT,12
C70,NURSING HOME/RETIREMENT HOME,10
C70,SMALL RETAIL STORE,9
C70,ALLEY,7
C70,HOTEL/MOTEL,6
C70,CONVENIENCE STORE,6
C70,PARK PROPERTY,5
C70,RESIDENCE PORCH/HALLWAY,3
C70,VACANT LOT/LAND,3
C70,COMMERCIAL / BUSINESS OFFICE,2
C70,TAVERN/LIQUOR STORE,2
C70,CTA BUS,2
C70,BAR OR TAVERN,2
C70,FACTORY/MANUFACTURING BUILDING,1
C70,"SCHOOL, PUBLIC, GROUNDS",1
C70,VEHICLE - OTHER RIDE SERVICE,1
C70,BANK,1
C70,CTA BUS STOP,1
C70,"SCHOOL, PRIVATE, GROUNDS",1
C70,OTHER RAILROAD PROP / TRAIN DEPOT,1
C70,BARBERSHOP,1
C70,GROCERY FOOD STORE,1
C71,STREET,640
C71,RESIDENCE,530
C71,APARTMENT,407
C71,SIDEWALK,130
C71,GAS STATION,103
C71,VEHICLE NON-COMMERCIAL,51
C71,ALLEY,47
C71,RESIDENTIAL YARD (FRONT/BACK),46
C71,PARKING LOT/GARAGE(NON.RESID.),42
C71,OTHER,30
C71,RESIDENCE PORCH/HALLWAY,30
C71,RESIDENCE-GARAGE,25
C71,RESTAURANT,21
C71,POLICE FACILITY/VEH PARKING LOT,14
C71,SMALL RETAIL STORE,11
C71,BAR OR TAVERN,10
C71,GROCERY FOOD STORE,9
C71,DRIVEWAY - RESIDENTIAL,9
C71,CTA BUS STOP,7
C71,TAVERN/LIQUOR STORE,6
C71,VACANT LOT/LAND,5
C71,JAIL / LOCK-UP FACILITY,4
C71,ABANDONED BUILDING,4
C71,ATM (AUTOMATIC TELLER MACHINE),3
C71,CTA BUS,3
C71,CONVENIENCE STORE,3
C71,GOVERNMENT BUILDING/PROPERTY,3
C71,COMMERCIAL / BUSINESS OFFICE,3
C71,WAREHOUSE,2
C71,PARK PROPERTY,2
C71,BARBERSHOP,2
C71,VEHICLE-COMMERCIAL,2
C71,NURSING HOME/RETIREMENT HOME,2
C71,"SCHOOL, PUBLIC, GROUNDS",2
C71,"SCHOOL, PUBLIC, BUILDING",2
C71,OTHER RAILROAD PROP / TRAIN DEPOT,2
C71,BANK,2
C71,CHA APARTMENT,2
C71,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
C71,AUTO,1
C71,DEPARTMENT STORE,1
C71,TAXICAB,1
C71,HOUSE,1
C71,BOWLING ALLEY,1
C71,VEHICLE - OTHER RIDE SERVICE,1
C71,DAY CARE CENTER,1
C72,RESIDENCE,62
C72,STREET,54
C72,RESIDENCE-GARAGE,13
C72,RESIDENTIAL YARD (FRONT/BACK),12
C72,VEHICLE NON-COMMERCIAL,11
C72,DRIVEWAY - RESIDENTIAL,9
C72,APARTMENT,9
C72,PARKING LOT/GARAGE(NON.RESID.),7
C72,OTHER,7
C72,RESTAURANT,6
C72,SIDEWALK,6
C72,SMALL RETAIL STORE,5
C72,ALLEY,4
C72,COMMERCIAL / BUSINESS OFFICE,4
C72,BAR OR TAVERN,3
C72,CONVENIENCE STORE,2
C72,MEDICAL/DENTAL OFFICE,2
C72,RESIDENCE PORCH/HALLWAY,2
C72,GAS STATION,2
C72,BANK,2
C72,TAVERN/LIQUOR STORE,2
C72,"SCHOOL, PUBLIC, BUILDING",1
C72,DAY CARE CENTER,1
C72,DRUG STORE,1
C72,ATM (AUTOMATIC TELLER MACHINE),1
C72,FIRE STATION,1
C72,CTA BUS,1
C72,DEPARTMENT STORE,1
C72,PARK PROPERTY,1
C73,RESIDENCE,248
C73,STREET,241
C73,APARTMENT,41
C73,SIDEWALK,36
C73,GAS STATION,34
C73,RESIDENCE-GARAGE,30
C73,VEHICLE NON-COMMERCIAL,22
C73,RESIDENTIAL YARD (FRONT/BACK),19
C73,RESTAURANT,16
C73,ALLEY,16
C73,OTHER,14
C73,RESIDENCE PORCH/HALLWAY,13
C73,PARKING LOT/GARAGE(NON.RESID.),11
C73,SMALL RETAIL STORE,10
C73,HOTEL/MOTEL,6
C73,CTA BUS STOP,5
C73,DRUG STORE,5
C73,DRIVEWAY - RESIDENTIAL,4
C73,AUTO,3
C73,PARK PROPERTY,3
C73,DEPARTMENT STORE,3
C73,CONVENIENCE STORE,3
C73,GROCERY FOOD STORE,3
C73,NURSING HOME/RETIREMENT HOME,3
C73,VEHICLE - OTHER RIDE SERVICE,2
C73,BARBERSHOP,2
C73,TAXICAB,2
C73,"SCHOOL, PUBLIC, GROUNDS",1
C73,COMMERCIAL / BUSINESS OFFICE,1
C73,DAY CARE CENTER,1
C73,CURRENCY EXCHANGE,1
C73,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C73,YARD,1
C73,"SCHOOL, PRIVATE, BUILDING",1
C73,TAVERN/LIQUOR STORE,1
C73,PORCH,1
C73,VACANT LOT/LAND,1
C73,"SCHOOL, PUBLIC, BUILDING",1
C74,RESIDENCE,62
C74,STREET,46
C74,RESIDENTIAL YARD (FRONT/BACK),11
C74,DRIVEWAY - RESIDENTIAL,10
C74,SMALL RETAIL STORE,9
C74,OTHER,8
C74,APARTMENT,8
C74,CONVENIENCE STORE,5
C74,ALLEY,5
C74,DRUG STORE,4
C74,SIDEWALK,3
C74,VEHICLE NON-COMMERCIAL,3
C74,TAXICAB,3
C74,RESIDENCE-GARAGE,3
C74,"SCHOOL, PRIVATE, BUILDING",2
C74,COLLEGE/UNIVERSITY GROUNDS,2
C74,RESIDENCE PORCH/HALLWAY,2
C74,PARKING LOT/GARAGE(NON.RESID.),2
C74,POOL ROOM,1
C74,GROCERY FOOD STORE,1
C74,BAR OR TAVERN,1
C74,"SCHOOL, PUBLIC, BUILDING",1
C74,COMMERCIAL / BUSINESS OFFICE,1
C75,RESIDENCE,165
C75,STREET,116
C75,SIDEWALK,23
C75,APARTMENT,23
C75,GAS STATION,22
C75,RESIDENTIAL YARD (FRONT/BACK),21
C75,RESIDENCE-GARAGE,20
C75,RESTAURANT,18
C75,VEHICLE NON-COMMERCIAL,17
C75,PARKING LOT/GARAGE(NON.RESID.),16
C75,DRIVEWAY - RESIDENTIAL,12
C75,OTHER,12
C75,BAR OR TAVERN,6
C75,ALLEY,6
C75,COMMERCIAL / BUSINESS OFFICE,6
C75,RESIDENCE PORCH/HALLWAY,5
C75,GROCERY FOOD STORE,4
C75,SMALL RETAIL STORE,4
C75,TAVERN/LIQUOR STORE,4
C75,BANK,3
C75,CTA BUS STOP,3
C75,DEPARTMENT STORE,3
C75,NURSING HOME/RETIREMENT HOME,2
C75,"SCHOOL, PUBLIC, BUILDING",2
C75,ATHLETIC CLUB,2
C75,ATM (AUTOMATIC TELLER MACHINE),2
C75,BARBERSHOP,2
C75,OTHER COMMERCIAL TRANSPORTATION,1
C75,TAXICAB,1
C75,MEDICAL/DENTAL OFFICE,1
C75,"SCHOOL, PUBLIC, GROUNDS",1
C75,VEHICLE - OTHER RIDE SERVICE,1
C75,YARD,1
C75,JAIL / LOCK-UP FACILITY,1
C75,PARK PROPERTY,1
C75,"SCHOOL, PRIVATE, BUILDING",1
C76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,37
C76,AIRPORT VENDING ESTABLISHMENT,34
C76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,33
C76,RESIDENCE,29
C76,PARKING LOT/GARAGE(NON.RESID.),27
C76,APARTMENT,23
C76,AIRPORT EXTERIOR - NON-SECURE AREA,22
C76,STREET,20
C76,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,16
C76,CTA TRAIN,15
C76,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,15
C76,OTHER,14
C76,AIRCRAFT,12
C76,AIRPORT PARKING LOT,11
C76,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
C76,HOTEL/MOTEL,8
C76,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,8
C76,AIRPORT/AIRCRAFT,7
C76,CTA PLATFORM,6
C76,SIDEWALK,5
C76,ALLEY,4
C76,CONVENIENCE STORE,4
C76,AIRPORT EXTERIOR - SECURE AREA,3
C76,COMMERCIAL / BUSINESS OFFICE,3
C76,TAVERN/LIQUOR STORE,2
C76,CTA GARAGE / OTHER PROPERTY,2
C76,DRIVEWAY - RESIDENTIAL,1
C76,ATHLETIC CLUB,1
C76,RESIDENTIAL YARD (FRONT/BACK),1
C76,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
C76,CTA BUS,1
C76,POLICE FACILITY/VEH PARKING LOT,1
C76,HIGHWAY/EXPRESSWAY,1
C76,VEHICLE NON-COMMERCIAL,1
C76,AIRPORT TRANSPORTATION SYSTEM (ATS),1
C76,TAXICAB,1
C76,GOVERNMENT BUILDING/PROPERTY,1
C76,BAR OR TAVERN,1
C77,STREET,167
C77,APARTMENT,147
C77,RESIDENCE,77
C77,SIDEWALK,44
C77,OTHER,33
C77,RESTAURANT,30
C77,RESIDENCE PORCH/HALLWAY,20
C77,PARKING LOT/GARAGE(NON.RESID.),19
C77,GROCERY FOOD STORE,18
C77,BAR OR TAVERN,17
C77,ALLEY,15
C77,RESIDENTIAL YARD (FRONT/BACK),13
C77,RESIDENCE-GARAGE,12
C77,SMALL RETAIL STORE,10
C77,CONVENIENCE STORE,9
C77,VEHICLE NON-COMMERCIAL,8
C77,GAS STATION,8
C77,PARK PROPERTY,7
C77,TAXICAB,6
C77,NURSING HOME/RETIREMENT HOME,6
C77,CTA PLATFORM,5
C77,CTA TRAIN,5
C77,DRUG STORE,4
C77,"SCHOOL, PRIVATE, BUILDING",3
C77,TAVERN/LIQUOR STORE,3
C77,HOTEL/MOTEL,2
C77,CTA STATION,2
C77,HOSPITAL BUILDING/GROUNDS,2
C77,BANK,2
C77,GOVERNMENT BUILDING/PROPERTY,1
C77,CTA GARAGE / OTHER PROPERTY,1
C77,"SCHOOL, PUBLIC, BUILDING",1
C77,MOVIE HOUSE/THEATER,1
C77,LAKEFRONT/WATERFRONT/RIVERBANK,1
C77,"SCHOOL, PUBLIC, GROUNDS",1
C77,COMMERCIAL / BUSINESS OFFICE,1
C77,CHA APARTMENT,1
C77,DRIVEWAY - RESIDENTIAL,1
C77,ATM (AUTOMATIC TELLER MACHINE),1
C8,STREET,702
C8,BAR OR TAVERN,497
C8,SIDEWALK,425
C8,RESTAURANT,247
C8,HOTEL/MOTEL,185
C8,APARTMENT,174
C8,RESIDENCE,173
C8,OTHER,162
C8,PARKING LOT/GARAGE(NON.RESID.),144
C8,SMALL RETAIL STORE,66
C8,VEHICLE NON-COMMERCIAL,62
C8,ATM (AUTOMATIC TELLER MACHINE),50
C8,HOSPITAL BUILDING/GROUNDS,43
C8,CONVENIENCE STORE,38
C8,DEPARTMENT STORE,37
C8,ALLEY,35
C8,CTA TRAIN,35
C8,COMMERCIAL / BUSINESS OFFICE,34
C8,TAVERN/LIQUOR STORE,31
C8,TAXICAB,31
C8,DRUG STORE,28
C8,GROCERY FOOD STORE,27
C8,CHA PARKING LOT/GROUNDS,23
C8,RESIDENCE-GARAGE,22
C8,CTA STATION,21
C8,GAS STATION,20
C8,BANK,17
C8,RESIDENCE PORCH/HALLWAY,16
C8,CTA PLATFORM,16
C8,RESIDENTIAL YARD (FRONT/BACK),11
C8,VEHICLE - OTHER RIDE SERVICE,9
C8,PARK PROPERTY,9
C8,VEHICLE-COMMERCIAL,9
C8,MOVIE HOUSE/THEATER,7
C8,CHA APARTMENT,7
C8,WAREHOUSE,6
C8,BOWLING ALLEY,5
C8,NURSING HOME/RETIREMENT HOME,5
C8,CTA BUS STOP,4
C8,CHA HALLWAY/STAIRWELL/ELEVATOR,4
C8,CONSTRUCTION SITE,4
C8,ATHLETIC CLUB,3
C8,DRIVEWAY - RESIDENTIAL,3
C8,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
C8,CTA TRACKS - RIGHT OF WAY,3
C8,BOAT/WATERCRAFT,2
C8,CURRENCY EXCHANGE,2
C8,CTA BUS,2
C8,POLICE FACILITY/VEH PARKING LOT,2
C8,"SCHOOL, PRIVATE, BUILDING",2
C8,OTHER COMMERCIAL TRANSPORTATION,2
C8,CTA GARAGE / OTHER PROPERTY,2
C8,BRIDGE,2
C8,LAKEFRONT/WATERFRONT/RIVERBANK,2
C8,SAVINGS AND LOAN,1
C8,"SCHOOL, PUBLIC, BUILDING",1
C8,COIN OPERATED MACHINE,1
C8,FIRE STATION,1
C8,CREDIT UNION,1
C8,POOL ROOM,1
C8,APPLIANCE STORE,1
C8,BARBERSHOP,1
C8,HIGHWAY/EXPRESSWAY,1
C8,DRIVEWAY,1
C8,COLLEGE/UNIVERSITY GROUNDS,1
C9,STREET,19
C9,RESIDENCE,19
C9,SIDEWALK,11
C9,APARTMENT,10
C9,PARKING LOT/GARAGE(NON.RESID.),6
C9,RESIDENTIAL YARD (FRONT/BACK),5
C9,VEHICLE NON-COMMERCIAL,5
C9,OTHER,4
C9,TAVERN/LIQUOR STORE,3
C9,BAR OR TAVERN,3
C9,DRIVEWAY - RESIDENTIAL,3
C9,RESIDENCE PORCH/HALLWAY,2
C9,RESTAURANT,2
C9,ALLEY,2
C9,COMMERCIAL / BUSINESS OFFICE,2
C9,PARK PROPERTY,1
C9,"SCHOOL, PUBLIC, BUILDING",1
C9,RESIDENCE-GARAGE,1