Community,Crime,Frequency,Period
C32,MOTOR VEHICLE THEFT,107,Day
C15,KIDNAPPING,3,Day
C3,KIDNAPPING,1,Day
C61,NON-CRIMINAL,2,Day
C74,CRIMINAL TRESPASS,17,Day
C45,NARCOTICS,11,Day
C3,WEAPONS VIOLATION,13,Day
C9,PROSTITUTION,1,Day
C15,ROBBERY,45,Day
C55,ROBBERY,9,Day
C14,INTIMIDATION,1,Day
C59,ASSAULT,57,Day
C72,LIQUOR LAW VIOLATION,1,Day
C59,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C14,CRIMINAL TRESPASS,27,Day
C38,BATTERY,479,Day
C74,INTIMIDATION,1,Day
C50,CRIM SEXUAL ASSAULT,3,Day
C21,WEAPONS VIOLATION,7,Day
C45,PUBLIC PEACE VIOLATION,10,Day
C3,SEX OFFENSE,16,Day
C46,THEFT,483,Day
C3,BURGLARY,106,Day
C69,OTHER OFFENSE,342,Day
C39,CRIM SEXUAL ASSAULT,5,Day
C72,MOTOR VEHICLE THEFT,33,Day
C59,CRIM SEXUAL ASSAULT,2,Day
C41,WEAPONS VIOLATION,2,Day
C38,HOMICIDE,4,Day
C59,NARCOTICS,15,Day
C32,LIQUOR LAW VIOLATION,8,Day
C12,MOTOR VEHICLE THEFT,11,Day
C41,DECEPTIVE PRACTICE,124,Day
C61,SEX OFFENSE,10,Day
C30,INTERFERENCE WITH PUBLIC OFFICER,8,Day
C21,BURGLARY,103,Day
C45,ASSAULT,101,Day
C58,ARSON,3,Day
C8,OFFENSE INVOLVING CHILDREN,20,Day
C54,CRIMINAL TRESPASS,37,Day
C35,CRIMINAL DAMAGE,134,Day
C8,THEFT,4461,Day
C39,ASSAULT,91,Day
C66,STALKING,2,Day
C34,INTIMIDATION,3,Day
C50,INTERFERENCE WITH PUBLIC OFFICER,6,Day
C59,PUBLIC PEACE VIOLATION,5,Day
C40,OTHER OFFENSE,140,Day
C18,BATTERY,81,Day
C26,OFFENSE INVOLVING CHILDREN,20,Day
C7,ASSAULT,107,Day
C55,KIDNAPPING,3,Day
C26,THEFT,434,Day
C55,WEAPONS VIOLATION,6,Day
C38,ARSON,1,Day
C52,MOTOR VEHICLE THEFT,28,Day
C32,STALKING,4,Day
C61,BURGLARY,127,Day
C75,KIDNAPPING,2,Day
C75,CRIMINAL DAMAGE,175,Day
C39,NARCOTICS,7,Day
C20,OTHER OFFENSE,102,Day
C65,ASSAULT,84,Day
C75,ROBBERY,43,Day
C41,SEX OFFENSE,4,Day
C10,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C25,ASSAULT,865,Day
C61,DECEPTIVE PRACTICE,137,Day
C15,CRIMINAL DAMAGE,241,Day
C7,NARCOTICS,23,Day
C70,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C29,OTHER OFFENSE,482,Day
C16,DECEPTIVE PRACTICE,175,Day
C25,PUBLIC PEACE VIOLATION,84,Day
C49,OFFENSE INVOLVING CHILDREN,47,Day
C63,ROBBERY,114,Day
C1,NARCOTICS,39,Day
C64,DECEPTIVE PRACTICE,57,Day
C13,ASSAULT,35,Day
C77,CRIMINAL TRESPASS,67,Day
C29,STALKING,1,Day
C15,LIQUOR LAW VIOLATION,2,Day
C18,CRIMINAL DAMAGE,46,Day
C44,OBSCENITY,1,Day
C43,OTHER OFFENSE,473,Day
C17,INTIMIDATION,2,Day
C53,PUBLIC PEACE VIOLATION,19,Day
C38,SEX OFFENSE,6,Day
C38,CRIMINAL DAMAGE,268,Day
C20,OFFENSE INVOLVING CHILDREN,16,Day
C77,OTHER OFFENSE,101,Day
C20,THEFT,235,Day
C46,HOMICIDE,10,Day
C51,CONCEALED CARRY LICENSE VIOLATION,1,Day
C35,MOTOR VEHICLE THEFT,62,Day
C13,NARCOTICS,17,Day
C75,MOTOR VEHICLE THEFT,56,Day
C29,OFFENSE INVOLVING CHILDREN,47,Day
C32,BATTERY,655,Day
C53,ASSAULT,286,Day
C70,OBSCENITY,5,Day
C72,BATTERY,58,Day
C29,LIQUOR LAW VIOLATION,3,Day
C57,INTIMIDATION,1,Day
C44,DECEPTIVE PRACTICE,274,Day
C33,INTERFERENCE WITH PUBLIC OFFICER,2,Day
C33,CRIM SEXUAL ASSAULT,3,Day
C47,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C57,CRIMINAL TRESPASS,14,Day
C25,GAMBLING,17,Day
C60,OFFENSE INVOLVING CHILDREN,8,Day
C13,PUBLIC PEACE VIOLATION,1,Day
C8,HOMICIDE,1,Day
C69,STALKING,4,Day
C18,SEX OFFENSE,1,Day
C32,ARSON,3,Day
C6,BURGLARY,198,Day
C34,THEFT,199,Day
C46,ARSON,6,Day
C27,CRIM SEXUAL ASSAULT,14,Day
C53,NARCOTICS,120,Day
C2,OFFENSE INVOLVING CHILDREN,21,Day
C30,OBSCENITY,2,Day
C40,STALKING,1,Day
C5,OTHER OFFENSE,50,Day
C58,KIDNAPPING,3,Day
C18,WEAPONS VIOLATION,2,Day
C26,HOMICIDE,10,Day
C58,WEAPONS VIOLATION,20,Day
C73,ASSAULT,167,Day
C55,MOTOR VEHICLE THEFT,13,Day
C73,INTERFERENCE WITH PUBLIC OFFICER,15,Day
C60,LIQUOR LAW VIOLATION,2,Day
C64,BURGLARY,48,Day
C18,ROBBERY,13,Day
C33,ASSAULT,79,Day
C17,CRIMINAL TRESPASS,25,Day
C52,BATTERY,160,Day
C24,BURGLARY,467,Day
C23,OTHER OFFENSE,357,Day
C37,OTHER OFFENSE,26,Day
C24,DECEPTIVE PRACTICE,416,Day
C77,INTIMIDATION,2,Day
C33,PUBLIC PEACE VIOLATION,2,Day
C58,SEX OFFENSE,8,Day
C13,CRIM SEXUAL ASSAULT,4,Day
C69,LIQUOR LAW VIOLATION,3,Day
C67,INTERFERENCE WITH PUBLIC OFFICER,34,Day
C2,STALKING,3,Day
C67,CRIM SEXUAL ASSAULT,17,Day
C25,PUBLIC INDECENCY,1,Day
C1,PUBLIC PEACE VIOLATION,11,Day
C52,HOMICIDE,2,Day
C73,NARCOTICS,49,Day
C14,THEFT,475,Day
C74,OFFENSE INVOLVING CHILDREN,16,Day
C2,THEFT,635,Day
C54,THEFT,104,Day
C66,ARSON,7,Day
C15,MOTOR VEHICLE THEFT,158,Day
C33,NARCOTICS,14,Day
C9,CRIM SEXUAL ASSAULT,1,Day
C69,MOTOR VEHICLE THEFT,152,Day
C20,STALKING,1,Day
C74,THEFT,101,Day
C12,BATTERY,32,Day
C38,WEAPONS VIOLATION,44,Day
C38,ROBBERY,118,Day
C63,OTHER OFFENSE,112,Day
C8,ARSON,4,Day
C37,INTIMIDATION,2,Day
C53,INTERFERENCE WITH PUBLIC OFFICER,32,Day
C73,PUBLIC PEACE VIOLATION,12,Day
C44,BURGLARY,225,Day
C1,ASSAULT,214,Day
C37,CRIMINAL TRESPASS,27,Day
C58,CRIMINAL DAMAGE,189,Day
C40,OFFENSE INVOLVING CHILDREN,18,Day
C57,OTHER OFFENSE,32,Day
C40,THEFT,305,Day
C52,ARSON,1,Day
C6,DECEPTIVE PRACTICE,497,Day
C71,CONCEALED CARRY LICENSE VIOLATION,1,Day
C66,HOMICIDE,10,Day
C26,ARSON,6,Day
C63,STALKING,1,Day
C63,LIQUOR LAW VIOLATION,1,Day
C49,HOMICIDE,14,Day
C12,CRIMINAL DAMAGE,33,Day
C15,BATTERY,331,Day
C66,ROBBERY,172,Day
C29,BATTERY,1284,Day
C16,ASSAULT,121,Day
C56,ASSAULT,85,Day
C11,INTIMIDATION,1,Day
C41,CRIM SEXUAL ASSAULT,14,Day
C65,CRIMINAL TRESPASS,23,Day
C32,SEX OFFENSE,21,Day
C8,KIDNAPPING,3,Day
C71,OTHER OFFENSE,444,Day
C40,ARSON,2,Day
C28,GAMBLING,2,Day
C7,CRIMINAL TRESPASS,53,Day
C9,DECEPTIVE PRACTICE,23,Day
C12,WEAPONS VIOLATION,3,Day
C66,KIDNAPPING,2,Day
C20,HOMICIDE,2,Day
C31,CRIMINAL TRESPASS,55,Day
C37,THEFT,172,Day
C49,ARSON,5,Day
C32,NON-CRIMINAL,2,Day
C16,NARCOTICS,21,Day
C26,KIDNAPPING,5,Day
C3,CRIM SEXUAL ASSAULT,24,Day
C56,NARCOTICS,50,Day
C63,MOTOR VEHICLE THEFT,84,Day
C5,OFFENSE INVOLVING CHILDREN,10,Day
C72,BURGLARY,49,Day
C26,ROBBERY,179,Day
C43,STALKING,7,Day
C60,BATTERY,132,Day
C29,HOMICIDE,30,Day
C31,OTHER OFFENSE,118,Day
C2,ARSON,1,Day
C52,SEX OFFENSE,5,Day
C21,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C21,CRIM SEXUAL ASSAULT,8,Day
C61,CRIM SEXUAL ASSAULT,8,Day
C69,BATTERY,981,Day
C68,GAMBLING,7,Day
C26,CRIMINAL DAMAGE,312,Day
C56,PUBLIC PEACE VIOLATION,5,Day
C38,PROSTITUTION,9,Day
C77,OFFENSE INVOLVING CHILDREN,11,Day
C52,WEAPONS VIOLATION,17,Day
C60,HOMICIDE,1,Day
C20,ARSON,3,Day
C77,THEFT,668,Day
C52,KIDNAPPING,2,Day
C58,PROSTITUTION,2,Day
C17,OFFENSE INVOLVING CHILDREN,9,Day
C46,KIDNAPPING,4,Day
C11,CRIMINAL TRESPASS,19,Day
C43,LIQUOR LAW VIOLATION,5,Day
C47,BURGLARY,21,Day
C69,HOMICIDE,14,Day
C17,THEFT,206,Day
C29,ARSON,8,Day
C2,HOMICIDE,2,Day
C12,NON-CRIMINAL,1,Day
C46,ROBBERY,104,Day
C43,MOTOR VEHICLE THEFT,173,Day
C61,INTERFERENCE WITH PUBLIC OFFICER,29,Day
C76,ASSAULT,63,Day
C40,BATTERY,430,Day
C45,CRIMINAL TRESPASS,20,Day
C16,PUBLIC PEACE VIOLATION,9,Day
C67,OBSCENITY,1,Day
C47,DECEPTIVE PRACTICE,12,Day
C66,CRIMINAL DAMAGE,467,Day
C11,OTHER OFFENSE,70,Day
C76,PUBLIC PEACE VIOLATION,17,Day
C65,INTIMIDATION,1,Day
C60,ARSON,1,Day
C12,KIDNAPPING,1,Day
C3,INTERFERENCE WITH PUBLIC OFFICER,6,Day
C8,CRIMINAL DAMAGE,394,Day
C57,OFFENSE INVOLVING CHILDREN,4,Day
C9,BURGLARY,3,Day
C8,ROBBERY,162,Day
C72,WEAPONS VIOLATION,1,Day
C40,HOMICIDE,6,Day
C32,KIDNAPPING,3,Day
C7,INTIMIDATION,1,Day
C76,NARCOTICS,120,Day
C36,ASSAULT,46,Day
C18,MOTOR VEHICLE THEFT,22,Day
C12,SEX OFFENSE,2,Day
C27,OBSCENITY,1,Day
C27,BURGLARY,87,Day
C23,LIQUOR LAW VIOLATION,1,Day
C51,OTHER OFFENSE,104,Day
C72,SEX OFFENSE,1,Day
C25,INTIMIDATION,4,Day
C67,DECEPTIVE PRACTICE,220,Day
C25,CRIMINAL TRESPASS,190,Day
C5,STALKING,1,Day
C27,DECEPTIVE PRACTICE,109,Day
C46,CRIMINAL DAMAGE,349,Day
C49,BATTERY,932,Day
C32,WEAPONS VIOLATION,7,Day
C57,THEFT,131,Day
C69,ARSON,4,Day
C37,OFFENSE INVOLVING CHILDREN,9,Day
C69,WEAPONS VIOLATION,91,Day
C48,CRIMINAL TRESPASS,14,Day
C29,ROBBERY,247,Day
C44,ASSAULT,390,Day
C46,STALKING,5,Day
C10,PUBLIC PEACE VIOLATION,2,Day
C60,CRIMINAL DAMAGE,114,Day
C46,LIQUOR LAW VIOLATION,1,Day
C28,INTIMIDATION,3,Day
C64,PUBLIC PEACE VIOLATION,1,Day
C34,OTHER OFFENSE,22,Day
C71,THEFT,881,Day
C24,CRIM SEXUAL ASSAULT,14,Day
C50,NARCOTICS,23,Day
C60,KIDNAPPING,2,Day
C2,CRIMINAL DAMAGE,297,Day
C51,OFFENSE INVOLVING CHILDREN,27,Day
C32,OTHER NARCOTIC VIOLATION,2,Day
C66,PROSTITUTION,1,Day
C60,ROBBERY,29,Day
C46,MOTOR VEHICLE THEFT,113,Day
C63,HOMICIDE,6,Day
C23,ARSON,8,Day
C43,BATTERY,1293,Day
C69,KIDNAPPING,2,Day
C77,ARSON,1,Day
C30,ASSAULT,298,Day
C2,KIDNAPPING,3,Day
C44,NARCOTICS,143,Day
C70,ASSAULT,135,Day
C21,OBSCENITY,4,Day
C69,ROBBERY,236,Day
C2,ROBBERY,49,Day
C15,DECEPTIVE PRACTICE,216,Day
C35,SEX OFFENSE,7,Day
C55,DECEPTIVE PRACTICE,34,Day
C75,BURGLARY,80,Day
C19,ASSAULT,243,Day
C74,OTHER OFFENSE,31,Day
C64,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C26,STALKING,1,Day
C19,PUBLIC PEACE VIOLATION,23,Day
C69,CRIMINAL DAMAGE,474,Day
C44,PUBLIC PEACE VIOLATION,24,Day
C26,PROSTITUTION,93,Day
C8,MOTOR VEHICLE THEFT,204,Day
C29,SEX OFFENSE,9,Day
C11,OFFENSE INVOLVING CHILDREN,8,Day
C40,WEAPONS VIOLATION,38,Day
C51,THEFT,325,Day
C63,ARSON,5,Day
C30,NARCOTICS,114,Day
C6,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C40,KIDNAPPING,4,Day
C65,THEFT,397,Day
C29,KIDNAPPING,3,Day
C70,NARCOTICS,23,Day
C6,CRIM SEXUAL ASSAULT,18,Day
C15,WEAPONS VIOLATION,9,Day
C40,CRIMINAL DAMAGE,239,Day
C58,CRIM SEXUAL ASSAULT,1,Day
C66,MOTOR VEHICLE THEFT,161,Day
C29,WEAPONS VIOLATION,220,Day
C40,ROBBERY,111,Day
C61,OBSCENITY,3,Day
C19,NARCOTICS,81,Day
C26,MOTOR VEHICLE THEFT,137,Day
C50,PUBLIC PEACE VIOLATION,10,Day
C35,BURGLARY,53,Day
C23,BATTERY,1029,Day
C5,ARSON,1,Day
C28,CRIMINAL TRESPASS,163,Day
C23,NON-CRIMINAL (SUBJECT SPECIFIED),1,Day
C49,CRIMINAL DAMAGE,564,Day
C75,DECEPTIVE PRACTICE,116,Day
C64,CRIM SEXUAL ASSAULT,4,Day
C70,PUBLIC PEACE VIOLATION,10,Day
C15,SEX OFFENSE,12,Day
C26,LIQUOR LAW VIOLATION,3,Day
C35,DECEPTIVE PRACTICE,156,Day
C24,INTERFERENCE WITH PUBLIC OFFICER,5,Day
C69,SEX OFFENSE,14,Day
C54,OTHER OFFENSE,110,Day
C5,BATTERY,71,Day
C1,INTIMIDATION,1,Day
C44,INTERFERENCE WITH PUBLIC OFFICER,14,Day
C8,STALKING,9,Day
C1,CRIMINAL TRESPASS,142,Day
C23,HOMICIDE,13,Day
C31,OFFENSE INVOLVING CHILDREN,21,Day
C11,THEFT,181,Day
C46,PROSTITUTION,2,Day
C71,STALKING,9,Day
C31,THEFT,413,Day
C60,WEAPONS VIOLATION,14,Day
C49,WEAPONS VIOLATION,116,Day
C57,HOMICIDE,1,Day
C20,CRIMINAL DAMAGE,91,Day
C49,KIDNAPPING,8,Day
C69,NON-CRIMINAL,1,Day
C10,ASSAULT,59,Day
C20,ROBBERY,43,Day
C30,PUBLIC PEACE VIOLATION,29,Day
C49,ROBBERY,191,Day
C64,ASSAULT,39,Day
C15,BURGLARY,161,Day
C66,LIQUOR LAW VIOLATION,2,Day
C55,BURGLARY,31,Day
C29,CRIMINAL DAMAGE,531,Day
C68,INTIMIDATION,4,Day
C14,OTHER OFFENSE,107,Day
C44,CRIM SEXUAL ASSAULT,17,Day
C32,PROSTITUTION,16,Day
C68,CRIMINAL TRESPASS,112,Day
C71,OFFENSE INVOLVING CHILDREN,56,Day
C3,DECEPTIVE PRACTICE,284,Day
C8,LIQUOR LAW VIOLATION,9,Day
C49,SEX OFFENSE,3,Day
C43,ARSON,4,Day
C10,NARCOTICS,11,Day
C45,THEFT,184,Day
C63,BATTERY,268,Day
C43,HOMICIDE,18,Day
C50,ASSAULT,73,Day
C64,NARCOTICS,17,Day
C21,DECEPTIVE PRACTICE,156,Day
C72,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C17,OTHER OFFENSE,96,Day
C34,STALKING,2,Day
C17,ROBBERY,17,Day
C18,DECEPTIVE PRACTICE,30,Day
C38,OBSCENITY,1,Day
C27,PUBLIC PEACE VIOLATION,28,Day
C77,CRIMINAL DAMAGE,157,Day
C58,DECEPTIVE PRACTICE,73,Day
C30,PUBLIC INDECENCY,1,Day
C71,ARSON,5,Day
C23,WEAPONS VIOLATION,117,Day
C29,PROSTITUTION,13,Day
C5,SEX OFFENSE,4,Day
C68,OFFENSE INVOLVING CHILDREN,45,Day
C20,MOTOR VEHICLE THEFT,86,Day
C27,NARCOTICS,512,Day
C74,MOTOR VEHICLE THEFT,10,Day
C28,OFFENSE INVOLVING CHILDREN,32,Day
C62,CRIMINAL TRESPASS,13,Day
C68,THEFT,611,Day
C1,THEFT,916,Day
C43,CRIMINAL DAMAGE,602,Day
C36,CRIMINAL TRESPASS,15,Day
C43,ROBBERY,290,Day
C47,ASSAULT,29,Day
C74,STALKING,1,Day
C29,MOTOR VEHICLE THEFT,241,Day
C42,INTIMIDATION,2,Day
C72,CRIM SEXUAL ASSAULT,2,Day
C23,SEX OFFENSE,20,Day
C34,LIQUOR LAW VIOLATION,1,Day
C38,BURGLARY,125,Day
C67,PUBLIC PEACE VIOLATION,33,Day
C63,SEX OFFENSE,10,Day
C26,BATTERY,714,Day
C4,CRIMINAL TRESPASS,47,Day
C62,OTHER OFFENSE,52,Day
C56,CRIMINAL TRESPASS,44,Day
C5,NON-CRIMINAL,1,Day
C34,OFFENSE INVOLVING CHILDREN,3,Day
C2,LIQUOR LAW VIOLATION,2,Day
C63,WEAPONS VIOLATION,25,Day
C31,ARSON,1,Day
C60,MOTOR VEHICLE THEFT,39,Day
C54,OFFENSE INVOLVING CHILDREN,13,Day
C9,ASSAULT,14,Day
C47,NARCOTICS,14,Day
C28,THEFT,2621,Day
C57,ROBBERY,17,Day
C2,MOTOR VEHICLE THEFT,121,Day
C23,CRIMINAL DAMAGE,496,Day
C37,CRIMINAL DAMAGE,56,Day
C22,INTIMIDATION,1,Day
C70,GAMBLING,4,Day
C52,CRIM SEXUAL ASSAULT,1,Day
C76,CRIMINAL TRESPASS,130,Day
C27,INTERFERENCE WITH PUBLIC OFFICER,30,Day
C18,BURGLARY,29,Day
C47,PUBLIC PEACE VIOLATION,2,Day
C12,CRIM SEXUAL ASSAULT,1,Day
C8,BATTERY,678,Day
C14,OFFENSE INVOLVING CHILDREN,15,Day
C9,NARCOTICS,1,Day
C43,KIDNAPPING,6,Day
C49,OTHER NARCOTIC VIOLATION,1,Day
C51,ARSON,1,Day
C43,WEAPONS VIOLATION,119,Day
C49,PROSTITUTION,47,Day
C51,HOMICIDE,4,Day
C42,CRIMINAL TRESPASS,47,Day
C48,THEFT,159,Day
C63,CRIMINAL DAMAGE,173,Day
C66,BATTERY,764,Day
C2,PROSTITUTION,2,Day
C67,NARCOTICS,416,Day
C37,ROBBERY,29,Day
C38,DECEPTIVE PRACTICE,141,Day
C42,OTHER OFFENSE,216,Day
C5,CRIMINAL DAMAGE,94,Day
C57,CRIMINAL DAMAGE,62,Day
C5,ROBBERY,23,Day
C32,CRIM SEXUAL ASSAULT,14,Day
C4,INTIMIDATION,2,Day
C40,MOTOR VEHICLE THEFT,80,Day
C71,HOMICIDE,12,Day
C23,KIDNAPPING,4,Day
C48,OFFENSE INVOLVING CHILDREN,7,Day
C20,LIQUOR LAW VIOLATION,2,Day
C63,KIDNAPPING,3,Day
C31,HOMICIDE,3,Day
C23,ROBBERY,269,Day
C25,CONCEALED CARRY LICENSE VIOLATION,3,Day
C9,PUBLIC PEACE VIOLATION,1,Day
C67,ASSAULT,440,Day
C77,ROBBERY,38,Day
C49,MOTOR VEHICLE THEFT,156,Day
C14,LIQUOR LAW VIOLATION,1,Day
C43,SEX OFFENSE,12,Day
C58,BURGLARY,88,Day
C27,ASSAULT,296,Day
C22,CRIMINAL TRESPASS,66,Day
C46,BATTERY,662,Day
C23,NON-CRIMINAL,1,Day
C17,CRIMINAL DAMAGE,119,Day
C63,PROSTITUTION,1,Day
C46,DECEPTIVE PRACTICE,140,Day
C35,CRIM SEXUAL ASSAULT,8,Day
C53,GAMBLING,1,Day
C23,PROSTITUTION,12,Day
C61,NARCOTICS,160,Day
C8,NON-CRIMINAL,1,Day
C62,OFFENSE INVOLVING CHILDREN,4,Day
C66,WEAPONS VIOLATION,89,Day
C11,ROBBERY,9,Day
C8,BURGLARY,138,Day
C3,NARCOTICS,48,Day
C41,ASSAULT,78,Day
C4,OFFENSE INVOLVING CHILDREN,8,Day
C73,CONCEALED CARRY LICENSE VIOLATION,1,Day
C32,OBSCENITY,1,Day
C31,CRIMINAL DAMAGE,201,Day
C12,DECEPTIVE PRACTICE,55,Day
C32,BURGLARY,57,Day
C17,LIQUOR LAW VIOLATION,1,Day
C31,ROBBERY,68,Day
C4,THEFT,467,Day
C32,DECEPTIVE PRACTICE,1284,Day
C30,INTIMIDATION,8,Day
C41,PUBLIC PEACE VIOLATION,5,Day
C5,MOTOR VEHICLE THEFT,42,Day
C66,SEX OFFENSE,10,Day
C19,INTIMIDATION,2,Day
C35,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C77,LIQUOR LAW VIOLATION,2,Day
C26,BURGLARY,93,Day
C75,INTERFERENCE WITH PUBLIC OFFICER,5,Day
C2,BATTERY,388,Day
C75,CRIM SEXUAL ASSAULT,3,Day
C19,CRIMINAL TRESPASS,60,Day
C22,OFFENSE INVOLVING CHILDREN,15,Day
C43,PROSTITUTION,3,Day
C22,THEFT,1276,Day
C8,SEX OFFENSE,22,Day
C62,THEFT,184,Day
C74,ARSON,1,Day
C15,CRIM SEXUAL ASSAULT,10,Day
C23,MOTOR VEHICLE THEFT,246,Day
C41,NARCOTICS,4,Day
C23,OTHER NARCOTIC VIOLATION,1,Day
C77,MOTOR VEHICLE THEFT,55,Day
C20,BATTERY,176,Day
C50,CRIMINAL TRESPASS,17,Day
C71,CRIMINAL DAMAGE,534,Day
C74,BATTERY,50,Day
C46,WEAPONS VIOLATION,78,Day
C70,INTIMIDATION,2,Day
C52,BURGLARY,40,Day
C17,MOTOR VEHICLE THEFT,47,Day
C77,STALKING,1,Day
C11,CRIMINAL DAMAGE,80,Day
C14,BATTERY,282,Day
C59,CRIMINAL TRESPASS,19,Day
C65,OTHER OFFENSE,89,Day
C57,LIQUOR LAW VIOLATION,1,Day
C55,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C42,OFFENSE INVOLVING CHILDREN,36,Day
C31,KIDNAPPING,1,Day
C71,KIDNAPPING,4,Day
C7,OTHER OFFENSE,73,Day
C14,HOMICIDE,1,Day
C42,THEFT,437,Day
C54,ARSON,2,Day
C71,ROBBERY,229,Day
C72,DECEPTIVE PRACTICE,65,Day
C57,MOTOR VEHICLE THEFT,33,Day
C21,ASSAULT,100,Day
C37,STALKING,1,Day
C66,BURGLARY,311,Day
C30,CRIMINAL TRESPASS,53,Day
C26,WEAPONS VIOLATION,94,Day
C54,BATTERY,268,Day
C12,BURGLARY,30,Day
C25,OTHER OFFENSE,865,Day
C61,PUBLIC PEACE VIOLATION,23,Day
C46,SEX OFFENSE,9,Day
C15,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C66,DECEPTIVE PRACTICE,231,Day
C7,HUMAN TRAFFICKING,1,Day
C39,CRIMINAL TRESPASS,25,Day
C55,CRIM SEXUAL ASSAULT,2,Day
C73,GAMBLING,1,Day
C45,OTHER OFFENSE,70,Day
C3,PUBLIC PEACE VIOLATION,21,Day
C54,HOMICIDE,5,Day
C14,ARSON,2,Day
C21,NARCOTICS,14,Day
C25,HUMAN TRAFFICKING,1,Day
C61,ASSAULT,299,Day
C70,CRIMINAL TRESPASS,28,Day
C51,KIDNAPPING,2,Day
C51,CRIMINAL DAMAGE,128,Day
C51,ROBBERY,32,Day
C52,DECEPTIVE PRACTICE,44,Day
C37,MOTOR VEHICLE THEFT,23,Day
C50,INTIMIDATION,2,Day
C46,BURGLARY,190,Day
C10,CRIMINAL TRESPASS,24,Day
C3,ASSAULT,219,Day
C34,BATTERY,112,Day
C66,NON-CRIMINAL,2,Day
C21,PUBLIC PEACE VIOLATION,4,Day
C8,WEAPONS VIOLATION,10,Day
C26,SEX OFFENSE,11,Day
C25,OFFENSE INVOLVING CHILDREN,81,Day
C6,PUBLIC PEACE VIOLATION,12,Day
C1,OTHER OFFENSE,160,Day
C51,LIQUOR LAW VIOLATION,1,Day
C25,THEFT,1524,Day
C54,WEAPONS VIOLATION,31,Day
C37,ARSON,2,Day
C14,KIDNAPPING,1,Day
C54,ROBBERY,20,Day
C62,HOMICIDE,1,Day
C56,CONCEALED CARRY LICENSE VIOLATION,12,Day
C51,MOTOR VEHICLE THEFT,44,Day
C60,BURGLARY,98,Day
C31,STALKING,2,Day
C14,ROBBERY,70,Day
C53,CRIMINAL TRESPASS,74,Day
C24,PUBLIC PEACE VIOLATION,13,Day
C58,ASSAULT,132,Day
C74,CRIMINAL DAMAGE,43,Day
C74,ROBBERY,3,Day
C49,BURGLARY,297,Day
C76,CONCEALED CARRY LICENSE VIOLATION,18,Day
C37,BATTERY,98,Day
C48,ROBBERY,40,Day
C49,DECEPTIVE PRACTICE,241,Day
C65,LIQUOR LAW VIOLATION,1,Day
C38,CRIM SEXUAL ASSAULT,9,Day
C29,OBSCENITY,2,Day
C2,SEX OFFENSE,21,Day
C65,OFFENSE INVOLVING CHILDREN,18,Day
C61,PUBLIC INDECENCY,1,Day
C28,OTHER OFFENSE,325,Day
C68,OTHER OFFENSE,333,Day
C14,WEAPONS VIOLATION,16,Day
C2,DECEPTIVE PRACTICE,221,Day
C50,THEFT,226,Day
C39,THEFT,309,Day
C62,ARSON,1,Day
C58,NARCOTICS,38,Day
C31,LIQUOR LAW VIOLATION,3,Day
C34,WEAPONS VIOLATION,6,Day
C20,BURGLARY,80,Day
C59,THEFT,187,Day
C11,STALKING,1,Day
C54,SEX OFFENSE,3,Day
C33,CRIMINAL TRESPASS,60,Day
C38,ASSAULT,225,Day
C54,CRIMINAL DAMAGE,106,Day
C65,STALKING,1,Day
C57,BATTERY,86,Day
C63,CRIM SEXUAL ASSAULT,7,Day
C29,BURGLARY,199,Day
C74,SEX OFFENSE,2,Day
