Community,Crime,Frequency,Period
C18,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C6,ASSAULT,148,Day
C18,CRIM SEXUAL ASSAULT,1,Day
C45,OFFENSE INVOLVING CHILDREN,9,Day
C71,LIQUOR LAW VIOLATION,2,Day
C17,ARSON,1,Day
C13,CRIMINAL TRESPASS,22,Day
C19,THEFT,630,Day
C31,MOTOR VEHICLE THEFT,67,Day
C24,ASSAULT,316,Day
C60,DECEPTIVE PRACTICE,64,Day
C38,NARCOTICS,113,Day
C28,HUMAN TRAFFICKING,2,Day
C73,CRIMINAL TRESPASS,64,Day
C25,STALKING,3,Day
C15,OBSCENITY,2,Day
C40,SEX OFFENSE,6,Day
C2,WEAPONS VIOLATION,9,Day
C68,CRIMINAL DAMAGE,400,Day
C69,BURGLARY,248,Day
C2,BURGLARY,129,Day
C14,CRIMINAL DAMAGE,170,Day
C68,ROBBERY,145,Day
C6,NARCOTICS,20,Day
C53,INTIMIDATION,1,Day
C69,DECEPTIVE PRACTICE,194,Day
C34,SEX OFFENSE,4,Day
C71,PROSTITUTION,4,Day
C58,INTERFERENCE WITH PUBLIC OFFICER,6,Day
C18,ASSAULT,28,Day
C38,PUBLIC PEACE VIOLATION,11,Day
C20,WEAPONS VIOLATION,13,Day
C74,KIDNAPPING,3,Day
C11,MOTOR VEHICLE THEFT,32,Day
C74,WEAPONS VIOLATION,1,Day
C24,NARCOTICS,41,Day
C34,KIDNAPPING,1,Day
C71,MOTOR VEHICLE THEFT,172,Day
C34,ROBBERY,50,Day
C20,DECEPTIVE PRACTICE,66,Day
C37,HOMICIDE,1,Day
C40,BURGLARY,106,Day
C17,BATTERY,189,Day
C40,DECEPTIVE PRACTICE,76,Day
C60,SEX OFFENSE,12,Day
C18,NARCOTICS,7,Day
C7,OFFENSE INVOLVING CHILDREN,2,Day
C77,BATTERY,292,Day
C20,SEX OFFENSE,10,Day
C34,CRIMINAL DAMAGE,60,Day
C29,DECEPTIVE PRACTICE,177,Day
C7,THEFT,1768,Day
C48,OTHER OFFENSE,86,Day
C38,INTERFERENCE WITH PUBLIC OFFICER,14,Day
C58,PUBLIC PEACE VIOLATION,8,Day
C70,THEFT,346,Day
C16,GAMBLING,2,Day
C34,MOTOR VEHICLE THEFT,26,Day
C13,THEFT,227,Day
C31,BATTERY,325,Day
C71,BATTERY,1048,Day
C32,NARCOTICS,53,Day
C8,INTERFERENCE WITH PUBLIC OFFICER,13,Day
C8,CRIM SEXUAL ASSAULT,22,Day
C68,MOTOR VEHICLE THEFT,101,Day
C41,CRIMINAL TRESPASS,19,Day
C48,STALKING,3,Day
C12,PUBLIC PEACE VIOLATION,1,Day
C43,DECEPTIVE PRACTICE,329,Day
C62,CRIMINAL DAMAGE,93,Day
C65,BATTERY,169,Day
C32,INTERFERENCE WITH PUBLIC OFFICER,9,Day
C77,SEX OFFENSE,7,Day
C7,ARSON,1,Day
C26,CRIM SEXUAL ASSAULT,11,Day
C1,STALKING,1,Day
C17,SEX OFFENSE,2,Day
C53,OFFENSE INVOLVING CHILDREN,28,Day
C1,LIQUOR LAW VIOLATION,1,Day
C5,BURGLARY,86,Day
C4,OTHER OFFENSE,81,Day
C17,KIDNAPPING,1,Day
C25,ARSON,10,Day
C57,KIDNAPPING,3,Day
C17,WEAPONS VIOLATION,5,Day
C25,HOMICIDE,55,Day
C72,ASSAULT,52,Day
C23,OBSCENITY,3,Day
C23,BURGLARY,231,Day
C63,BURGLARY,125,Day
C16,CRIMINAL TRESPASS,41,Day
C77,BURGLARY,77,Day
C62,ROBBERY,38,Day
C22,CRIMINAL DAMAGE,300,Day
C61,INTIMIDATION,3,Day
C22,OTHER OFFENSE,173,Day
C66,INTERFERENCE WITH PUBLIC OFFICER,12,Day
C28,STALKING,11,Day
C23,DECEPTIVE PRACTICE,250,Day
C32,PUBLIC PEACE VIOLATION,48,Day
C44,GAMBLING,2,Day
C57,SEX OFFENSE,1,Day
C16,OTHER OFFENSE,157,Day
C53,THEFT,404,Day
C65,ARSON,2,Day
C46,CRIM SEXUAL ASSAULT,14,Day
C72,NARCOTICS,9,Day
C73,OFFENSE INVOLVING CHILDREN,32,Day
C42,ROBBERY,138,Day
C14,MOTOR VEHICLE THEFT,110,Day
C28,MOTOR VEHICLE THEFT,283,Day
C77,WEAPONS VIOLATION,6,Day
C45,HOMICIDE,3,Day
C73,THEFT,447,Day
C11,BATTERY,104,Day
C25,BATTERY,2139,Day
C52,ASSAULT,72,Day
C68,STALKING,4,Day
C43,OBSCENITY,4,Day
C72,PUBLIC PEACE VIOLATION,2,Day
C42,CRIMINAL DAMAGE,270,Day
C43,BURGLARY,429,Day
C28,LIQUOR LAW VIOLATION,4,Day
C26,INTERFERENCE WITH PUBLIC OFFICER,32,Day
C56,OTHER OFFENSE,103,Day
C46,INTERFERENCE WITH PUBLIC OFFICER,23,Day
C4,ROBBERY,31,Day
C33,OFFENSE INVOLVING CHILDREN,7,Day
C54,MOTOR VEHICLE THEFT,25,Day
C33,THEFT,420,Day
C45,ARSON,2,Day
C51,BATTERY,199,Day
C52,NARCOTICS,26,Day
C1,OFFENSE INVOLVING CHILDREN,17,Day
C12,ASSAULT,30,Day
C22,ROBBERY,115,Day
C61,CRIMINAL TRESPASS,65,Day
C57,WEAPONS VIOLATION,1,Day
C63,DECEPTIVE PRACTICE,88,Day
C48,MOTOR VEHICLE THEFT,52,Day
C57,BURGLARY,71,Day
C45,BATTERY,195,Day
C32,ASSAULT,355,Day
C19,CONCEALED CARRY LICENSE VIOLATION,3,Day
C16,INTIMIDATION,2,Day
C52,PUBLIC PEACE VIOLATION,5,Day
C37,SEX OFFENSE,2,Day
C5,DECEPTIVE PRACTICE,121,Day
C36,OTHER OFFENSE,50,Day
C76,OTHER OFFENSE,70,Day
C66,CRIM SEXUAL ASSAULT,17,Day
C12,NARCOTICS,4,Day
C37,WEAPONS VIOLATION,18,Day
C1,ARSON,1,Day
C24,CRIMINAL TRESPASS,116,Day
C48,BATTERY,147,Day
C49,NARCOTICS,256,Day
C30,OTHER OFFENSE,255,Day
C75,ASSAULT,112,Day
C60,CRIM SEXUAL ASSAULT,1,Day
C11,SEX OFFENSE,2,Day
C22,LIQUOR LAW VIOLATION,4,Day
C55,PUBLIC PEACE VIOLATION,2,Day
C51,SEX OFFENSE,1,Day
C20,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C4,MOTOR VEHICLE THEFT,59,Day
C65,SEX OFFENSE,2,Day
C49,CRIM SEXUAL ASSAULT,14,Day
C1,BATTERY,444,Day
C32,PUBLIC INDECENCY,1,Day
C4,STALKING,1,Day
C39,OTHER OFFENSE,93,Day
C69,CRIM SEXUAL ASSAULT,13,Day
C51,WEAPONS VIOLATION,29,Day
C57,PROSTITUTION,1,Day
C29,INTERFERENCE WITH PUBLIC OFFICER,52,Day
C49,PUBLIC PEACE VIOLATION,33,Day
C22,MOTOR VEHICLE THEFT,161,Day
C16,OFFENSE INVOLVING CHILDREN,13,Day
C56,THEFT,285,Day
C68,ARSON,12,Day
C75,NARCOTICS,28,Day
C16,THEFT,551,Day
C45,WEAPONS VIOLATION,10,Day
C68,HOMICIDE,14,Day
C1,HOMICIDE,2,Day
C62,STALKING,1,Day
C45,ROBBERY,47,Day
C66,OBSCENITY,3,Day
C44,INTIMIDATION,2,Day
C60,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C51,BURGLARY,49,Day
C50,OTHER OFFENSE,87,Day
C28,BATTERY,727,Day
C44,CRIMINAL TRESPASS,165,Day
C65,CRIMINAL DAMAGE,180,Day
C68,BATTERY,940,Day
C29,NARCOTICS,1370,Day
C10,OTHER OFFENSE,66,Day
C69,ASSAULT,473,Day
C75,PUBLIC PEACE VIOLATION,13,Day
C4,LIQUOR LAW VIOLATION,2,Day
C2,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C29,CRIM SEXUAL ASSAULT,21,Day
C59,OTHER OFFENSE,49,Day
C7,CRIMINAL DAMAGE,258,Day
C56,OFFENSE INVOLVING CHILDREN,12,Day
C28,HOMICIDE,6,Day
C8,DECEPTIVE PRACTICE,1248,Day
C6,INTIMIDATION,1,Day
C28,ARSON,1,Day
C11,BURGLARY,42,Day
C71,DECEPTIVE PRACTICE,227,Day
C35,ASSAULT,161,Day
C65,WEAPONS VIOLATION,12,Day
C25,KIDNAPPING,8,Day
C26,OBSCENITY,1,Day
C25,CRIMINAL DAMAGE,1023,Day
C69,NARCOTICS,160,Day
C25,ROBBERY,495,Day
C42,STALKING,2,Day
C29,ASSAULT,483,Day
C27,CONCEALED CARRY LICENSE VIOLATION,1,Day
C26,DECEPTIVE PRACTICE,141,Day
C46,OBSCENITY,2,Day
C24,INTIMIDATION,3,Day
C35,PUBLIC PEACE VIOLATION,5,Day
C31,BURGLARY,141,Day
C69,INTERFERENCE WITH PUBLIC OFFICER,15,Day
C45,CRIMINAL DAMAGE,101,Day
C19,OTHER OFFENSE,243,Day
C31,WEAPONS VIOLATION,29,Day
C67,GAMBLING,13,Day
C76,OFFENSE INVOLVING CHILDREN,2,Day
C35,NARCOTICS,45,Day
C42,MOTOR VEHICLE THEFT,66,Day
C36,OFFENSE INVOLVING CHILDREN,2,Day
C17,OTHER NARCOTIC VIOLATION,1,Day
C76,THEFT,372,Day
C2,CRIM SEXUAL ASSAULT,12,Day
C48,HOMICIDE,1,Day
C55,ASSAULT,45,Day
C31,SEX OFFENSE,8,Day
C64,INTIMIDATION,1,Day
C42,LIQUOR LAW VIOLATION,1,Day
C51,DECEPTIVE PRACTICE,74,Day
C71,SEX OFFENSE,13,Day
C15,ASSAULT,178,Day
C40,INTERFERENCE WITH PUBLIC OFFICER,9,Day
C70,OTHER OFFENSE,117,Day
C40,CRIM SEXUAL ASSAULT,7,Day
C64,CRIMINAL TRESPASS,9,Day
C7,KIDNAPPING,5,Day
C7,ROBBERY,63,Day
C49,ASSAULT,453,Day
C76,STALKING,2,Day
C15,PUBLIC PEACE VIOLATION,5,Day
C71,WEAPONS VIOLATION,139,Day
C29,PUBLIC PEACE VIOLATION,53,Day
C69,PUBLIC PEACE VIOLATION,23,Day
C49,INTERFERENCE WITH PUBLIC OFFICER,36,Day
C27,GAMBLING,21,Day
C6,CRIMINAL TRESPASS,106,Day
C11,KIDNAPPING,1,Day
C11,WEAPONS VIOLATION,3,Day
C17,PROSTITUTION,1,Day
C55,NARCOTICS,4,Day
C65,KIDNAPPING,5,Day
C8,OBSCENITY,3,Day
C36,THEFT,101,Day
C15,NARCOTICS,48,Day
C65,ROBBERY,66,Day
C62,MOTOR VEHICLE THEFT,32,Day
C71,BURGLARY,242,Day
C4,HOMICIDE,1,Day
C73,OTHER OFFENSE,201,Day
C63,ASSAULT,115,Day
C63,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C28,SEX OFFENSE,10,Day
C11,PROSTITUTION,1,Day
C10,OFFENSE INVOLVING CHILDREN,7,Day
C67,OTHER OFFENSE,394,Day
C25,PROSTITUTION,110,Day
C50,OFFENSE INVOLVING CHILDREN,14,Day
C22,HOMICIDE,4,Day
C68,WEAPONS VIOLATION,149,Day
C28,KIDNAPPING,2,Day
C36,ARSON,1,Day
C65,MOTOR VEHICLE THEFT,62,Day
C15,PUBLIC INDECENCY,1,Day
C59,OFFENSE INVOLVING CHILDREN,4,Day
C43,ASSAULT,578,Day
C62,BATTERY,84,Day
C34,BURGLARY,30,Day
C63,NARCOTICS,46,Day
C6,THEFT,1578,Day
C34,DECEPTIVE PRACTICE,49,Day
C23,INTERFERENCE WITH PUBLIC OFFICER,36,Day
C43,PUBLIC PEACE VIOLATION,18,Day
C74,DECEPTIVE PRACTICE,48,Day
C7,MOTOR VEHICLE THEFT,117,Day
C77,INTERFERENCE WITH PUBLIC OFFICER,1,Day
C14,SEX OFFENSE,20,Day
C39,STALKING,1,Day
C28,CRIMINAL DAMAGE,563,Day
C4,BATTERY,190,Day
C53,OTHER OFFENSE,289,Day
C27,INTIMIDATION,5,Day
C27,OTHER OFFENSE,225,Day
C10,THEFT,174,Day
C43,INTERFERENCE WITH PUBLIC OFFICER,31,Day
C63,PUBLIC PEACE VIOLATION,10,Day
C22,ARSON,2,Day
C48,SEX OFFENSE,4,Day
C64,THEFT,121,Day
C17,CRIM SEXUAL ASSAULT,1,Day
C30,OFFENSE INVOLVING CHILDREN,43,Day
C43,NARCOTICS,184,Day
C19,OFFENSE INVOLVING CHILDREN,34,Day
C48,KIDNAPPING,1,Day
C77,CRIM SEXUAL ASSAULT,10,Day
C30,THEFT,647,Day
C16,HOMICIDE,1,Day
C48,WEAPONS VIOLATION,13,Day
C5,PUBLIC PEACE VIOLATION,4,Day
C56,HOMICIDE,1,Day
C16,ARSON,2,Day
C45,MOTOR VEHICLE THEFT,33,Day
C54,BURGLARY,33,Day
C23,ASSAULT,496,Day
C42,BATTERY,553,Day
C10,STALKING,1,Day
C68,KIDNAPPING,6,Day
C1,KIDNAPPING,2,Day
C1,WEAPONS VIOLATION,16,Day
C13,OTHER OFFENSE,42,Day
C1,ROBBERY,93,Day
C23,PUBLIC PEACE VIOLATION,53,Day
C67,INTIMIDATION,2,Day
C54,DECEPTIVE PRACTICE,27,Day
C59,LIQUOR LAW VIOLATION,1,Day
C43,CRIM SEXUAL ASSAULT,26,Day
C19,STALKING,1,Day
C5,ASSAULT,45,Day
C70,OFFENSE INVOLVING CHILDREN,19,Day
C7,LIQUOR LAW VIOLATION,4,Day
C42,HOMICIDE,5,Day
C42,ARSON,2,Day
C44,THEFT,1140,Day
C56,ARSON,1,Day
C23,NARCOTICS,949,Day
C73,ROBBERY,84,Day
C9,CRIMINAL TRESPASS,7,Day
C40,OBSCENITY,2,Day
C50,STALKING,3,Day
C25,LIQUOR LAW VIOLATION,8,Day
C54,OBSCENITY,1,Day
C28,WEAPONS VIOLATION,39,Day
C14,BURGLARY,104,Day
C28,ROBBERY,227,Day
C14,DECEPTIVE PRACTICE,114,Day
C74,BURGLARY,12,Day
C5,NARCOTICS,11,Day
C27,CRIMINAL TRESPASS,134,Day
C48,CRIMINAL DAMAGE,119,Day
C28,NON-CRIMINAL,3,Day
C57,CRIM SEXUAL ASSAULT,2,Day
C19,LIQUOR LAW VIOLATION,1,Day
C33,OTHER OFFENSE,86,Day
C47,OTHER OFFENSE,23,Day
C68,SEX OFFENSE,12,Day
C23,CRIM SEXUAL ASSAULT,24,Day
C1,CRIMINAL DAMAGE,360,Day
C39,OFFENSE INVOLVING CHILDREN,8,Day
C76,ARSON,1,Day
C24,THEFT,2236,Day
C76,HOMICIDE,1,Day
C53,ROBBERY,81,Day
C25,MOTOR VEHICLE THEFT,473,Day
C70,LIQUOR LAW VIOLATION,1,Day
C30,STALKING,2,Day
C22,BATTERY,365,Day
C67,CRIMINAL TRESPASS,107,Day
C73,CRIMINAL DAMAGE,264,Day
C76,BATTERY,128,Day
C1,ASSAULT,47,Night
C1,BATTERY,246,Night
C1,BURGLARY,40,Night
C1,CRIM SEXUAL ASSAULT,15,Night
C1,CRIMINAL DAMAGE,216,Night
C1,CRIMINAL TRESPASS,36,Night
C1,DECEPTIVE PRACTICE,62,Night
C1,HOMICIDE,2,Night
C1,INTERFERENCE WITH PUBLIC OFFICER,6,Night
C1,INTIMIDATION,1,Night
C1,LIQUOR LAW VIOLATION,1,Night
C1,MOTOR VEHICLE THEFT,45,Night
C1,NARCOTICS,24,Night
C1,OBSCENITY,1,Night
C1,OFFENSE INVOLVING CHILDREN,7,Night
C1,OTHER NARCOTIC VIOLATION,1,Night
C1,OTHER OFFENSE,50,Night
C1,PROSTITUTION,1,Night
C1,PUBLIC PEACE VIOLATION,4,Night
C1,ROBBERY,72,Night
C1,SEX OFFENSE,10,Night
C1,THEFT,270,Night
C1,WEAPONS VIOLATION,19,Night
C10,ASSAULT,20,Night
C10,BATTERY,55,Night
C10,BURGLARY,14,Night
C10,CRIM SEXUAL ASSAULT,6,Night
C10,CRIMINAL DAMAGE,52,Night
C10,CRIMINAL TRESPASS,10,Night
C10,DECEPTIVE PRACTICE,20,Night
C10,HUMAN TRAFFICKING,1,Night
C10,MOTOR VEHICLE THEFT,11,Night
C10,NARCOTICS,6,Night
C10,OFFENSE INVOLVING CHILDREN,1,Night
C10,OTHER OFFENSE,22,Night
C10,PROSTITUTION,2,Night
C10,PUBLIC PEACE VIOLATION,1,Night
C10,ROBBERY,8,Night
C10,SEX OFFENSE,1,Night
C10,THEFT,80,Night
C10,WEAPONS VIOLATION,1,Night
C11,ARSON,1,Night
C11,ASSAULT,18,Night
C11,BATTERY,46,Night
C11,BURGLARY,14,Night
C11,CRIM SEXUAL ASSAULT,3,Night
C11,CRIMINAL DAMAGE,50,Night
C11,CRIMINAL TRESPASS,5,Night
C11,DECEPTIVE PRACTICE,14,Night
C11,HOMICIDE,1,Night
C11,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C11,MOTOR VEHICLE THEFT,17,Night
C11,NARCOTICS,9,Night
C11,OFFENSE INVOLVING CHILDREN,1,Night
C11,OTHER OFFENSE,21,Night
C11,PUBLIC PEACE VIOLATION,1,Night
C11,ROBBERY,9,Night
C11,SEX OFFENSE,2,Night
C11,THEFT,70,Night
C11,WEAPONS VIOLATION,1,Night
C12,ARSON,1,Night
C12,ASSAULT,7,Night
C12,BATTERY,18,Night
C12,BURGLARY,16,Night
C12,CRIM SEXUAL ASSAULT,1,Night
C12,CRIMINAL DAMAGE,22,Night
C12,CRIMINAL TRESPASS,12,Night
C12,DECEPTIVE PRACTICE,11,Night
C12,INTIMIDATION,1,Night
C12,MOTOR VEHICLE THEFT,14,Night
C12,NARCOTICS,2,Night
C12,OTHER OFFENSE,7,Night
C12,ROBBERY,4,Night
C12,THEFT,53,Night
C12,WEAPONS VIOLATION,1,Night
C13,ARSON,1,Night
C13,ASSAULT,18,Night
C13,BATTERY,33,Night
C13,BURGLARY,17,Night
C13,CRIMINAL DAMAGE,30,Night
C13,CRIMINAL TRESPASS,10,Night
C13,DECEPTIVE PRACTICE,5,Night
C13,HOMICIDE,1,Night
C13,LIQUOR LAW VIOLATION,1,Night
C13,MOTOR VEHICLE THEFT,23,Night
C13,OTHER OFFENSE,10,Night
C13,ROBBERY,14,Night
C13,THEFT,88,Night
C13,WEAPONS VIOLATION,1,Night
C14,ARSON,2,Night
C14,ASSAULT,30,Night
C14,BATTERY,143,Night
C14,BURGLARY,38,Night
C14,CRIM SEXUAL ASSAULT,11,Night
C14,CRIMINAL DAMAGE,107,Night
C14,CRIMINAL TRESPASS,10,Night
C14,DECEPTIVE PRACTICE,11,Night
C14,LIQUOR LAW VIOLATION,1,Night
C14,MOTOR VEHICLE THEFT,57,Night
C14,NARCOTICS,11,Night
C14,OBSCENITY,1,Night
C14,OFFENSE INVOLVING CHILDREN,9,Night
C14,OTHER OFFENSE,49,Night
C14,PUBLIC PEACE VIOLATION,1,Night
C14,ROBBERY,66,Night
C14,SEX OFFENSE,3,Night
C14,THEFT,204,Night
C14,WEAPONS VIOLATION,7,Night
C15,ARSON,2,Night
C15,ASSAULT,59,Night
C15,BATTERY,217,Night
C15,BURGLARY,69,Night
C15,CONCEALED CARRY LICENSE VIOLATION,1,Night
C15,CRIM SEXUAL ASSAULT,6,Night
C15,CRIMINAL DAMAGE,169,Night
C15,CRIMINAL TRESPASS,18,Night
C15,DECEPTIVE PRACTICE,35,Night
C15,HOMICIDE,1,Night
C15,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C15,KIDNAPPING,1,Night
C15,MOTOR VEHICLE THEFT,75,Night
C15,NARCOTICS,27,Night
C15,OFFENSE INVOLVING CHILDREN,12,Night
C15,OTHER OFFENSE,79,Night
C15,PUBLIC PEACE VIOLATION,5,Night
C15,ROBBERY,26,Night
C15,SEX OFFENSE,3,Night
C15,THEFT,205,Night
C15,WEAPONS VIOLATION,7,Night
C16,ARSON,9,Night
C16,ASSAULT,39,Night
C16,BATTERY,170,Night
C16,BURGLARY,61,Night
C16,CRIM SEXUAL ASSAULT,5,Night
C16,CRIMINAL DAMAGE,148,Night
C16,CRIMINAL TRESPASS,17,Night
C16,DECEPTIVE PRACTICE,41,Night
C16,HOMICIDE,1,Night
C16,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C16,INTIMIDATION,2,Night
C16,MOTOR VEHICLE THEFT,68,Night
C16,NARCOTICS,8,Night
C16,OBSCENITY,1,Night
C16,OFFENSE INVOLVING CHILDREN,9,Night
C16,OTHER OFFENSE,49,Night
C16,PUBLIC PEACE VIOLATION,2,Night
C16,ROBBERY,59,Night
C16,SEX OFFENSE,7,Night
C16,THEFT,242,Night
C16,WEAPONS VIOLATION,6,Night
C17,ARSON,1,Night
C17,ASSAULT,19,Night
C17,BATTERY,103,Night
C17,BURGLARY,26,Night
C17,CRIM SEXUAL ASSAULT,3,Night
C17,CRIMINAL DAMAGE,87,Night
C17,CRIMINAL TRESPASS,12,Night
C17,DECEPTIVE PRACTICE,21,Night
C17,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C17,LIQUOR LAW VIOLATION,3,Night
C17,MOTOR VEHICLE THEFT,13,Night
C17,NARCOTICS,11,Night
C17,OBSCENITY,1,Night
C17,OFFENSE INVOLVING CHILDREN,6,Night
C17,OTHER OFFENSE,35,Night
C17,PUBLIC PEACE VIOLATION,1,Night
C17,ROBBERY,12,Night
C17,SEX OFFENSE,4,Night
C17,THEFT,84,Night
C17,WEAPONS VIOLATION,7,Night
C18,ASSAULT,7,Night
C18,BATTERY,55,Night
C18,BURGLARY,11,Night
C18,CRIM SEXUAL ASSAULT,4,Night
C18,CRIMINAL DAMAGE,45,Night
C18,CRIMINAL TRESPASS,1,Night
C18,DECEPTIVE PRACTICE,8,Night
C18,HOMICIDE,1,Night
C18,MOTOR VEHICLE THEFT,10,Night
C18,NARCOTICS,3,Night
C18,OTHER OFFENSE,16,Night
C18,PUBLIC PEACE VIOLATION,2,Night
C18,ROBBERY,8,Night
C18,SEX OFFENSE,1,Night
C18,THEFT,28,Night
C18,WEAPONS VIOLATION,1,Night
C19,ARSON,8,Night
C19,ASSAULT,87,Night
C19,BATTERY,319,Night
C19,BURGLARY,91,Night
C19,CONCEALED CARRY LICENSE VIOLATION,1,Night
C19,CRIM SEXUAL ASSAULT,11,Night
C19,CRIMINAL DAMAGE,191,Night
C19,CRIMINAL TRESPASS,28,Night
C19,DECEPTIVE PRACTICE,41,Night
C19,HOMICIDE,2,Night
C19,INTERFERENCE WITH PUBLIC OFFICER,6,Night
C19,INTIMIDATION,1,Night
C19,KIDNAPPING,2,Night
C19,MOTOR VEHICLE THEFT,128,Night
C19,NARCOTICS,38,Night
C19,OFFENSE INVOLVING CHILDREN,18,Night
C19,OTHER OFFENSE,88,Night
C19,PROSTITUTION,8,Night
C19,PUBLIC PEACE VIOLATION,7,Night
C19,ROBBERY,84,Night
C19,SEX OFFENSE,6,Night
C19,THEFT,200,Night
C19,WEAPONS VIOLATION,21,Night
C2,ASSAULT,67,Night
C2,BATTERY,186,Night
C2,BURGLARY,59,Night
C2,CRIM SEXUAL ASSAULT,6,Night
C2,CRIMINAL DAMAGE,176,Night
C2,CRIMINAL TRESPASS,37,Night
C2,DECEPTIVE PRACTICE,47,Night
C2,GAMBLING,1,Night
C2,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C2,KIDNAPPING,1,Night
C2,LIQUOR LAW VIOLATION,2,Night
C2,MOTOR VEHICLE THEFT,65,Night
C2,NARCOTICS,23,Night
C2,OFFENSE INVOLVING CHILDREN,9,Night
C2,OTHER OFFENSE,59,Night
C2,PUBLIC PEACE VIOLATION,5,Night
C2,ROBBERY,65,Night
C2,SEX OFFENSE,4,Night
C2,THEFT,260,Night
C2,WEAPONS VIOLATION,13,Night
C20,ARSON,6,Night
C20,ASSAULT,28,Night
C20,BATTERY,102,Night
C20,BURGLARY,24,Night
C20,CRIM SEXUAL ASSAULT,3,Night
C20,CRIMINAL DAMAGE,65,Night
C20,CRIMINAL TRESPASS,5,Night
C20,DECEPTIVE PRACTICE,10,Night
C20,HOMICIDE,1,Night
C20,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C20,MOTOR VEHICLE THEFT,34,Night
C20,NARCOTICS,10,Night
C20,OFFENSE INVOLVING CHILDREN,8,Night
C20,OTHER OFFENSE,35,Night
C20,PUBLIC PEACE VIOLATION,5,Night
C20,ROBBERY,14,Night
C20,SEX OFFENSE,1,Night
C20,THEFT,66,Night
C20,WEAPONS VIOLATION,15,Night
C21,ARSON,6,Night
C21,ASSAULT,32,Night
C21,BATTERY,141,Night
C21,BURGLARY,41,Night
C21,CONCEALED CARRY LICENSE VIOLATION,1,Night
C21,CRIM SEXUAL ASSAULT,8,Night
C21,CRIMINAL DAMAGE,143,Night
C21,CRIMINAL TRESPASS,13,Night
C21,DECEPTIVE PRACTICE,28,Night
C21,MOTOR VEHICLE THEFT,47,Night
C21,NARCOTICS,8,Night
C21,OFFENSE INVOLVING CHILDREN,8,Night
C21,OTHER OFFENSE,29,Night
C21,PUBLIC PEACE VIOLATION,1,Night
C21,ROBBERY,49,Night
C21,SEX OFFENSE,7,Night
C21,STALKING,1,Night
C21,THEFT,176,Night
C21,WEAPONS VIOLATION,6,Night
C22,ARSON,6,Night
C22,ASSAULT,84,Night
C22,BATTERY,287,Night
C22,BURGLARY,89,Night
C22,CRIM SEXUAL ASSAULT,16,Night
C22,CRIMINAL DAMAGE,215,Night
C22,CRIMINAL TRESPASS,20,Night
C22,DECEPTIVE PRACTICE,58,Night
C22,HOMICIDE,1,Night
C22,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C22,LIQUOR LAW VIOLATION,2,Night
C22,MOTOR VEHICLE THEFT,87,Night
