Community,Crime,Frequency,Period
C50,CRIM SEXUAL ASSAULT,1,Night
C50,CRIMINAL DAMAGE,32,Night
C50,CRIMINAL TRESPASS,8,Night
C50,DECEPTIVE PRACTICE,7,Night
C50,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C50,MOTOR VEHICLE THEFT,25,Night
C50,NARCOTICS,10,Night
C50,OFFENSE INVOLVING CHILDREN,3,Night
C50,OTHER OFFENSE,17,Night
C50,PUBLIC PEACE VIOLATION,4,Night
C50,ROBBERY,11,Night
C50,SEX OFFENSE,1,Night
C50,THEFT,40,Night
C50,WEAPONS VIOLATION,11,Night
C51,ARSON,2,Night
C51,ASSAULT,37,Night
C51,BATTERY,140,Night
C51,BURGLARY,13,Night
C51,CRIM SEXUAL ASSAULT,1,Night
C51,CRIMINAL DAMAGE,67,Night
C51,CRIMINAL TRESPASS,12,Night
C51,DECEPTIVE PRACTICE,19,Night
C51,HOMICIDE,3,Night
C51,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C51,INTIMIDATION,1,Night
C51,KIDNAPPING,1,Night
C51,MOTOR VEHICLE THEFT,29,Night
C51,NARCOTICS,18,Night
C51,OFFENSE INVOLVING CHILDREN,5,Night
C51,OTHER OFFENSE,31,Night
C51,PUBLIC PEACE VIOLATION,1,Night
C51,ROBBERY,16,Night
C51,SEX OFFENSE,1,Night
C51,THEFT,64,Night
C51,WEAPONS VIOLATION,23,Night
C52,ARSON,5,Night
C52,ASSAULT,29,Night
C52,BATTERY,98,Night
C52,BURGLARY,13,Night
C52,CRIM SEXUAL ASSAULT,4,Night
C52,CRIMINAL DAMAGE,106,Night
C52,CRIMINAL TRESPASS,15,Night
C52,DECEPTIVE PRACTICE,12,Night
C52,HOMICIDE,5,Night
C52,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C52,MOTOR VEHICLE THEFT,17,Night
C52,NARCOTICS,11,Night
C52,OFFENSE INVOLVING CHILDREN,7,Night
C52,OTHER OFFENSE,21,Night
C52,PUBLIC PEACE VIOLATION,4,Night
C52,ROBBERY,7,Night
C52,SEX OFFENSE,1,Night
C52,THEFT,51,Night
C52,WEAPONS VIOLATION,17,Night
C53,ARSON,8,Night
C53,ASSAULT,88,Night
C53,BATTERY,325,Night
C53,BURGLARY,40,Night
C53,CRIM SEXUAL ASSAULT,12,Night
C53,CRIMINAL DAMAGE,228,Night
C53,CRIMINAL TRESPASS,19,Night
C53,DECEPTIVE PRACTICE,28,Night
C53,HOMICIDE,4,Night
C53,INTERFERENCE WITH PUBLIC OFFICER,9,Night
C53,INTIMIDATION,1,Night
C53,MOTOR VEHICLE THEFT,49,Night
C53,NARCOTICS,20,Night
C53,OBSCENITY,1,Night
C53,OFFENSE INVOLVING CHILDREN,11,Night
C53,OTHER OFFENSE,90,Night
C53,PROSTITUTION,1,Night
C53,PUBLIC PEACE VIOLATION,4,Night
C53,ROBBERY,62,Night
C53,SEX OFFENSE,8,Night
C53,STALKING,1,Night
C53,THEFT,109,Night
C53,WEAPONS VIOLATION,50,Night
C54,ASSAULT,27,Night
C54,BATTERY,108,Night
C54,BURGLARY,14,Night
C54,CRIM SEXUAL ASSAULT,1,Night
C54,CRIMINAL DAMAGE,53,Night
C54,CRIMINAL TRESPASS,5,Night
C54,DECEPTIVE PRACTICE,7,Night
C54,HOMICIDE,1,Night
C54,INTERFERENCE WITH PUBLIC OFFICER,4,Night
C54,MOTOR VEHICLE THEFT,27,Night
C54,NARCOTICS,6,Night
C54,OFFENSE INVOLVING CHILDREN,6,Night
C54,OTHER OFFENSE,31,Night
C54,PUBLIC PEACE VIOLATION,1,Night
C54,ROBBERY,22,Night
C54,SEX OFFENSE,2,Night
C54,STALKING,1,Night
C54,THEFT,45,Night
C54,WEAPONS VIOLATION,12,Night
C55,ASSAULT,17,Night
C55,BATTERY,54,Night
C55,BURGLARY,10,Night
C55,CRIM SEXUAL ASSAULT,2,Night
C55,CRIMINAL DAMAGE,42,Night
C55,CRIMINAL TRESPASS,8,Night
C55,DECEPTIVE PRACTICE,5,Night
C55,MOTOR VEHICLE THEFT,20,Night
C55,NARCOTICS,2,Night
C55,OFFENSE INVOLVING CHILDREN,3,Night
C55,OTHER OFFENSE,6,Night
C55,ROBBERY,2,Night
C55,SEX OFFENSE,1,Night
C55,THEFT,39,Night
C55,WEAPONS VIOLATION,3,Night
C56,ARSON,2,Night
C56,ASSAULT,24,Night
C56,BATTERY,86,Night
C56,BURGLARY,29,Night
C56,CONCEALED CARRY LICENSE VIOLATION,2,Night
C56,CRIM SEXUAL ASSAULT,3,Night
C56,CRIMINAL DAMAGE,111,Night
C56,CRIMINAL TRESPASS,9,Night
C56,DECEPTIVE PRACTICE,45,Night
C56,HOMICIDE,4,Night
C56,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C56,INTIMIDATION,1,Night
C56,KIDNAPPING,1,Night
C56,MOTOR VEHICLE THEFT,42,Night
C56,NARCOTICS,7,Night
C56,NON-CRIMINAL,1,Night
C56,OFFENSE INVOLVING CHILDREN,5,Night
C56,OTHER OFFENSE,32,Night
C56,PROSTITUTION,1,Night
C56,PUBLIC PEACE VIOLATION,3,Night
C56,ROBBERY,24,Night
C56,SEX OFFENSE,3,Night
C56,STALKING,3,Night
C56,THEFT,99,Night
C56,WEAPONS VIOLATION,9,Night
C57,ASSAULT,11,Night
C57,BATTERY,47,Night
C57,BURGLARY,21,Night
C57,CRIM SEXUAL ASSAULT,1,Night
C57,CRIMINAL DAMAGE,48,Night
C57,CRIMINAL TRESPASS,8,Night
C57,DECEPTIVE PRACTICE,7,Night
C57,HOMICIDE,2,Night
C57,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C57,MOTOR VEHICLE THEFT,16,Night
C57,NARCOTICS,5,Night
C57,OBSCENITY,1,Night
C57,OFFENSE INVOLVING CHILDREN,4,Night
C57,OTHER OFFENSE,11,Night
C57,PUBLIC PEACE VIOLATION,1,Night
C57,ROBBERY,13,Night
C57,SEX OFFENSE,2,Night
C57,THEFT,44,Night
C57,WEAPONS VIOLATION,4,Night
C58,ARSON,9,Night
C58,ASSAULT,47,Night
C58,BATTERY,206,Night
C58,BURGLARY,42,Night
C58,CRIM SEXUAL ASSAULT,6,Night
C58,CRIMINAL DAMAGE,115,Night
C58,CRIMINAL TRESPASS,12,Night
C58,DECEPTIVE PRACTICE,17,Night
C58,HOMICIDE,8,Night
C58,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C58,INTIMIDATION,1,Night
C58,KIDNAPPING,1,Night
C58,LIQUOR LAW VIOLATION,1,Night
C58,MOTOR VEHICLE THEFT,35,Night
C58,NARCOTICS,60,Night
C58,OBSCENITY,1,Night
C58,OFFENSE INVOLVING CHILDREN,9,Night
C58,OTHER OFFENSE,49,Night
C58,PROSTITUTION,12,Night
C58,PUBLIC PEACE VIOLATION,5,Night
C58,ROBBERY,48,Night
C58,SEX OFFENSE,5,Night
C58,STALKING,1,Night
C58,THEFT,70,Night
C58,WEAPONS VIOLATION,18,Night
C59,ARSON,2,Night
C59,ASSAULT,20,Night
C59,BATTERY,56,Night
C59,BURGLARY,19,Night
C59,CRIM SEXUAL ASSAULT,3,Night
C59,CRIMINAL DAMAGE,66,Night
C59,CRIMINAL TRESPASS,7,Night
C59,DECEPTIVE PRACTICE,12,Night
C59,MOTOR VEHICLE THEFT,15,Night
C59,NARCOTICS,49,Night
C59,OFFENSE INVOLVING CHILDREN,5,Night
C59,OTHER OFFENSE,18,Night
C59,PROSTITUTION,3,Night
C59,ROBBERY,15,Night
C59,THEFT,40,Night
C59,WEAPONS VIOLATION,7,Night
C6,ARSON,1,Night
C6,ASSAULT,60,Night
C6,BATTERY,400,Night
C6,BURGLARY,108,Night
C6,CRIM SEXUAL ASSAULT,32,Night
C6,CRIMINAL DAMAGE,154,Night
C6,CRIMINAL TRESPASS,59,Night
C6,DECEPTIVE PRACTICE,165,Night
C6,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C6,LIQUOR LAW VIOLATION,3,Night
C6,MOTOR VEHICLE THEFT,48,Night
C6,NARCOTICS,19,Night
C6,NON-CRIMINAL,1,Night
C6,OFFENSE INVOLVING CHILDREN,5,Night
C6,OTHER OFFENSE,61,Night
C6,PUBLIC PEACE VIOLATION,18,Night
C6,ROBBERY,163,Night
C6,SEX OFFENSE,10,Night
C6,STALKING,1,Night
C6,THEFT,627,Night
C6,WEAPONS VIOLATION,9,Night
C60,ARSON,4,Night
C60,ASSAULT,27,Night
C60,BATTERY,82,Night
C60,BURGLARY,33,Night
C60,CRIM SEXUAL ASSAULT,4,Night
C60,CRIMINAL DAMAGE,83,Night
C60,CRIMINAL TRESPASS,7,Night
C60,DECEPTIVE PRACTICE,21,Night
C60,HOMICIDE,1,Night
C60,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C60,KIDNAPPING,1,Night
C60,MOTOR VEHICLE THEFT,23,Night
C60,NARCOTICS,15,Night
C60,OFFENSE INVOLVING CHILDREN,2,Night
C60,OTHER OFFENSE,32,Night
C60,PUBLIC PEACE VIOLATION,5,Night
C60,ROBBERY,24,Night
C60,SEX OFFENSE,1,Night
C60,THEFT,94,Night
C60,WEAPONS VIOLATION,2,Night
C61,ARSON,11,Night
C61,ASSAULT,108,Night
C61,BATTERY,346,Night
C61,BURGLARY,63,Night
C61,CONCEALED CARRY LICENSE VIOLATION,1,Night
C61,CRIM SEXUAL ASSAULT,14,Night
C61,CRIMINAL DAMAGE,197,Night
C61,CRIMINAL TRESPASS,28,Night
C61,DECEPTIVE PRACTICE,23,Night
C61,HOMICIDE,8,Night
C61,INTERFERENCE WITH PUBLIC OFFICER,12,Night
C61,INTIMIDATION,1,Night
C61,MOTOR VEHICLE THEFT,89,Night
C61,NARCOTICS,65,Night
C61,OFFENSE INVOLVING CHILDREN,24,Night
C61,OTHER OFFENSE,104,Night
C61,PROSTITUTION,2,Night
C61,PUBLIC PEACE VIOLATION,4,Night
C61,ROBBERY,61,Night
C61,SEX OFFENSE,8,Night
C61,STALKING,1,Night
C61,THEFT,175,Night
C61,WEAPONS VIOLATION,45,Night
C62,ARSON,1,Night
C62,ASSAULT,16,Night
C62,BATTERY,49,Night
C62,BURGLARY,15,Night
C62,CRIM SEXUAL ASSAULT,4,Night
C62,CRIMINAL DAMAGE,71,Night
C62,CRIMINAL TRESPASS,6,Night
C62,DECEPTIVE PRACTICE,8,Night
C62,INTIMIDATION,1,Night
C62,MOTOR VEHICLE THEFT,22,Night
C62,NARCOTICS,8,Night
C62,OTHER OFFENSE,15,Night
C62,ROBBERY,22,Night
C62,SEX OFFENSE,1,Night
C62,THEFT,50,Night
C62,WEAPONS VIOLATION,4,Night
C63,ARSON,7,Night
C63,ASSAULT,39,Night
C63,BATTERY,170,Night
C63,BURGLARY,27,Night
C63,CRIM SEXUAL ASSAULT,5,Night
C63,CRIMINAL DAMAGE,111,Night
C63,CRIMINAL TRESPASS,12,Night
C63,DECEPTIVE PRACTICE,7,Night
C63,HOMICIDE,5,Night
C63,INTERFERENCE WITH PUBLIC OFFICER,4,Night
C63,LIQUOR LAW VIOLATION,2,Night
C63,MOTOR VEHICLE THEFT,44,Night
C63,NARCOTICS,29,Night
C63,OFFENSE INVOLVING CHILDREN,6,Night
C63,OTHER OFFENSE,50,Night
C63,PUBLIC PEACE VIOLATION,4,Night
C63,ROBBERY,46,Night
C63,SEX OFFENSE,3,Night
C63,THEFT,105,Night
C63,WEAPONS VIOLATION,12,Night
C64,ARSON,1,Night
C64,ASSAULT,15,Night
C64,BATTERY,63,Night
C64,BURGLARY,18,Night
C64,CRIM SEXUAL ASSAULT,1,Night
C64,CRIMINAL DAMAGE,73,Night
C64,CRIMINAL TRESPASS,5,Night
C64,DECEPTIVE PRACTICE,8,Night
C64,HOMICIDE,1,Night
C64,MOTOR VEHICLE THEFT,12,Night
C64,NARCOTICS,8,Night
C64,OFFENSE INVOLVING CHILDREN,3,Night
C64,OTHER OFFENSE,18,Night
C64,ROBBERY,7,Night
C64,SEX OFFENSE,1,Night
C64,THEFT,47,Night
C64,WEAPONS VIOLATION,3,Night
C65,ARSON,4,Night
C65,ASSAULT,23,Night
C65,BATTERY,83,Night
C65,BURGLARY,44,Night
C65,CRIM SEXUAL ASSAULT,6,Night
C65,CRIMINAL DAMAGE,99,Night
C65,CRIMINAL TRESPASS,8,Night
C65,DECEPTIVE PRACTICE,14,Night
C65,HOMICIDE,1,Night
C65,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C65,LIQUOR LAW VIOLATION,1,Night
C65,MOTOR VEHICLE THEFT,29,Night
C65,NARCOTICS,12,Night
C65,OFFENSE INVOLVING CHILDREN,10,Night
C65,OTHER OFFENSE,29,Night
C65,PUBLIC PEACE VIOLATION,1,Night
C65,ROBBERY,21,Night
C65,SEX OFFENSE,3,Night
C65,THEFT,91,Night
C65,WEAPONS VIOLATION,5,Night
C66,ARSON,6,Night
C66,ASSAULT,89,Night
C66,BATTERY,445,Night
C66,BURGLARY,103,Night
C66,CONCEALED CARRY LICENSE VIOLATION,2,Night
C66,CRIM SEXUAL ASSAULT,18,Night
C66,CRIMINAL DAMAGE,271,Night
C66,CRIMINAL TRESPASS,44,Night
C66,DECEPTIVE PRACTICE,35,Night
C66,GAMBLING,4,Night
C66,HOMICIDE,9,Night
C66,INTERFERENCE WITH PUBLIC OFFICER,11,Night
C66,LIQUOR LAW VIOLATION,1,Night
C66,MOTOR VEHICLE THEFT,87,Night
C66,NARCOTICS,56,Night
C66,NON-CRIMINAL,1,Night
C66,OFFENSE INVOLVING CHILDREN,16,Night
C66,OTHER OFFENSE,91,Night
C66,PUBLIC PEACE VIOLATION,9,Night
C66,ROBBERY,101,Night
C66,SEX OFFENSE,9,Night
C66,THEFT,236,Night
C66,WEAPONS VIOLATION,38,Night
C67,ARSON,8,Night
C67,ASSAULT,137,Night
C67,BATTERY,609,Night
C67,BURGLARY,70,Night
C67,CRIM SEXUAL ASSAULT,24,Night
C67,CRIMINAL DAMAGE,342,Night
C67,CRIMINAL TRESPASS,38,Night
C67,DECEPTIVE PRACTICE,29,Night
C67,GAMBLING,1,Night
C67,HOMICIDE,7,Night
C67,INTERFERENCE WITH PUBLIC OFFICER,15,Night
C67,KIDNAPPING,1,Night
C67,MOTOR VEHICLE THEFT,68,Night
C67,NARCOTICS,75,Night
C67,OFFENSE INVOLVING CHILDREN,14,Night
C67,OTHER OFFENSE,111,Night
C67,PROSTITUTION,51,Night
C67,PUBLIC PEACE VIOLATION,21,Night
C67,ROBBERY,105,Night
C67,SEX OFFENSE,8,Night
C67,STALKING,1,Night
C67,THEFT,217,Night
C67,WEAPONS VIOLATION,85,Night
C68,ARSON,8,Night
C68,ASSAULT,134,Night
C68,BATTERY,521,Night
C68,BURGLARY,45,Night
C68,CRIM SEXUAL ASSAULT,19,Night
C68,CRIMINAL DAMAGE,244,Night
C68,CRIMINAL TRESPASS,21,Night
C68,DECEPTIVE PRACTICE,30,Night
C68,GAMBLING,1,Night
C68,HOMICIDE,12,Night
C68,INTERFERENCE WITH PUBLIC OFFICER,31,Night
C68,KIDNAPPING,1,Night
C68,LIQUOR LAW VIOLATION,1,Night
C68,MOTOR VEHICLE THEFT,92,Night
C68,NARCOTICS,61,Night
C68,OFFENSE INVOLVING CHILDREN,13,Night
C68,OTHER OFFENSE,131,Night
C68,PROSTITUTION,57,Night
C68,PUBLIC PEACE VIOLATION,11,Night
C68,ROBBERY,113,Night
C68,SEX OFFENSE,10,Night
C68,STALKING,2,Night
C68,THEFT,171,Night
C68,WEAPONS VIOLATION,104,Night
C69,ARSON,5,Night
C69,ASSAULT,156,Night
C69,BATTERY,578,Night
C69,BURGLARY,77,Night
C69,CRIM SEXUAL ASSAULT,33,Night
C69,CRIMINAL DAMAGE,289,Night
C69,CRIMINAL TRESPASS,49,Night
C69,DECEPTIVE PRACTICE,35,Night
C69,GAMBLING,1,Night
C69,HOMICIDE,7,Night
C69,INTERFERENCE WITH PUBLIC OFFICER,20,Night
C69,KIDNAPPING,1,Night
C69,LIQUOR LAW VIOLATION,1,Night
C69,MOTOR VEHICLE THEFT,92,Night
C69,NARCOTICS,52,Night
C69,OFFENSE INVOLVING CHILDREN,14,Night
C69,OTHER OFFENSE,129,Night
C69,PUBLIC PEACE VIOLATION,14,Night
C69,ROBBERY,151,Night
C69,SEX OFFENSE,12,Night
C69,STALKING,2,Night
C69,THEFT,258,Night
C69,WEAPONS VIOLATION,67,Night
C7,ASSAULT,26,Night
C7,BATTERY,164,Night
C7,BURGLARY,70,Night
C7,CONCEALED CARRY LICENSE VIOLATION,2,Night
C7,CRIM SEXUAL ASSAULT,13,Night
C7,CRIMINAL DAMAGE,121,Night
C7,CRIMINAL TRESPASS,27,Night
C7,DECEPTIVE PRACTICE,90,Night
C7,HOMICIDE,1,Night
C7,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C7,LIQUOR LAW VIOLATION,1,Night
C7,MOTOR VEHICLE THEFT,53,Night
C7,NARCOTICS,7,Night
C7,OFFENSE INVOLVING CHILDREN,2,Night
C7,OTHER OFFENSE,19,Night
C7,PUBLIC PEACE VIOLATION,3,Night
C7,ROBBERY,82,Night
C7,SEX OFFENSE,7,Night
C7,STALKING,3,Night
C7,THEFT,412,Night
C7,WEAPONS VIOLATION,5,Night
C70,ARSON,2,Night
C70,ASSAULT,29,Night
C70,BATTERY,134,Night
C70,BURGLARY,45,Night
C70,CRIM SEXUAL ASSAULT,3,Night
C70,CRIMINAL DAMAGE,127,Night
C70,CRIMINAL TRESPASS,15,Night
C70,DECEPTIVE PRACTICE,25,Night
C70,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C70,MOTOR VEHICLE THEFT,58,Night
C70,NARCOTICS,6,Night
C70,OBSCENITY,1,Night
C70,OFFENSE INVOLVING CHILDREN,6,Night
C70,OTHER OFFENSE,43,Night
C70,PUBLIC PEACE VIOLATION,5,Night
C70,ROBBERY,45,Night
C70,SEX OFFENSE,1,Night
C70,THEFT,112,Night
C70,WEAPONS VIOLATION,10,Night
C71,ARSON,6,Night
C71,ASSAULT,158,Night
C71,BATTERY,597,Night
C71,BURGLARY,91,Night
C71,CRIM SEXUAL ASSAULT,16,Night
C71,CRIMINAL DAMAGE,312,Night
C71,CRIMINAL TRESPASS,57,Night
C71,DECEPTIVE PRACTICE,65,Night
C71,HOMICIDE,11,Night
C71,INTERFERENCE WITH PUBLIC OFFICER,17,Night
C71,INTIMIDATION,2,Night
C71,KIDNAPPING,1,Night
C71,LIQUOR LAW VIOLATION,1,Night
C71,MOTOR VEHICLE THEFT,103,Night
C71,NARCOTICS,70,Night
C71,OFFENSE INVOLVING CHILDREN,24,Night
C71,OTHER OFFENSE,135,Night
C71,PROSTITUTION,9,Night
C71,PUBLIC PEACE VIOLATION,17,Night
C71,ROBBERY,112,Night
C71,SEX OFFENSE,7,Night
C71,STALKING,1,Night
C71,THEFT,300,Night
C71,WEAPONS VIOLATION,113,Night
C72,ASSAULT,11,Night
C72,BATTERY,36,Night
C72,BURGLARY,15,Night
C72,CRIMINAL DAMAGE,47,Night
C72,CRIMINAL TRESPASS,9,Night
C72,DECEPTIVE PRACTICE,14,Night
C72,MOTOR VEHICLE THEFT,7,Night
C72,NARCOTICS,1,Night
C72,OFFENSE INVOLVING CHILDREN,4,Night
C72,OTHER OFFENSE,14,Night
C72,ROBBERY,10,Night
C72,SEX OFFENSE,1,Night
C72,THEFT,63,Night
C73,ARSON,3,Night
C73,ASSAULT,42,Night
C73,BATTERY,172,Night
C73,BURGLARY,54,Night
C73,CRIM SEXUAL ASSAULT,8,Night
C73,CRIMINAL DAMAGE,134,Night
C73,CRIMINAL TRESPASS,15,Night
C73,DECEPTIVE PRACTICE,27,Night
C73,HOMICIDE,8,Night
C73,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C73,KIDNAPPING,2,Night
C73,MOTOR VEHICLE THEFT,53,Night
C73,NARCOTICS,12,Night
C73,OFFENSE INVOLVING CHILDREN,12,Night
C73,OTHER OFFENSE,43,Night
C73,ROBBERY,51,Night
C73,SEX OFFENSE,2,Night
C73,THEFT,149,Night
C73,WEAPONS VIOLATION,17,Night
C74,ASSAULT,10,Night
C74,BATTERY,37,Night
C74,BURGLARY,8,Night
C74,CRIMINAL DAMAGE,24,Night
C74,CRIMINAL TRESPASS,8,Night
C74,DECEPTIVE PRACTICE,18,Night
C74,LIQUOR LAW VIOLATION,1,Night
C74,MOTOR VEHICLE THEFT,8,Night
C74,OFFENSE INVOLVING CHILDREN,3,Night
C74,OTHER OFFENSE,13,Night
C74,PUBLIC PEACE VIOLATION,1,Night
C74,ROBBERY,4,Night
C74,THEFT,57,Night
C74,WEAPONS VIOLATION,1,Night
C75,ARSON,1,Night
C75,ASSAULT,38,Night
C75,BATTERY,116,Night
C75,BURGLARY,33,Night
C75,CRIM SEXUAL ASSAULT,4,Night
C75,CRIMINAL DAMAGE,107,Night
C75,CRIMINAL TRESPASS,11,Night
C75,DECEPTIVE PRACTICE,27,Night
C75,HOMICIDE,2,Night
C75,MOTOR VEHICLE THEFT,19,Night
C75,NARCOTICS,4,Night
C75,OFFENSE INVOLVING CHILDREN,7,Night
C75,OTHER OFFENSE,31,Night
C75,PUBLIC PEACE VIOLATION,3,Night
C75,ROBBERY,17,Night
C75,SEX OFFENSE,2,Night
C75,THEFT,98,Night
C75,WEAPONS VIOLATION,8,Night
C76,ASSAULT,21,Night
C76,BATTERY,64,Night
C76,BURGLARY,6,Night
C76,CONCEALED CARRY LICENSE VIOLATION,1,Night
C76,CRIM SEXUAL ASSAULT,2,Night
C76,CRIMINAL DAMAGE,39,Night
C76,CRIMINAL TRESPASS,22,Night
C76,DECEPTIVE PRACTICE,62,Night
C76,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C76,LIQUOR LAW VIOLATION,1,Night
C76,MOTOR VEHICLE THEFT,27,Night
C76,NARCOTICS,4,Night
C76,NON-CRIMINAL,1,Night
C76,OFFENSE INVOLVING CHILDREN,1,Night
C76,OTHER OFFENSE,19,Night
C76,PUBLIC PEACE VIOLATION,4,Night
C76,ROBBERY,5,Night
C76,SEX OFFENSE,1,Night
C76,THEFT,98,Night
C76,WEAPONS VIOLATION,1,Night
C77,ARSON,1,Night
C77,ASSAULT,36,Night
C77,BATTERY,141,Night
C77,BURGLARY,28,Night
C77,CONCEALED CARRY LICENSE VIOLATION,1,Night
C77,CRIM SEXUAL ASSAULT,7,Night
C77,CRIMINAL DAMAGE,75,Night
C77,CRIMINAL TRESPASS,29,Night
C77,DECEPTIVE PRACTICE,57,Night
C77,HOMICIDE,1,Night
C77,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C77,INTIMIDATION,1,Night
C77,LIQUOR LAW VIOLATION,1,Night
C77,MOTOR VEHICLE THEFT,32,Night
C77,NARCOTICS,11,Night
C77,OFFENSE INVOLVING CHILDREN,3,Night
C77,OTHER OFFENSE,31,Night
C77,PUBLIC PEACE VIOLATION,2,Night
C77,ROBBERY,50,Night
C77,SEX OFFENSE,1,Night
C77,THEFT,190,Night
C77,WEAPONS VIOLATION,4,Night
C8,ARSON,2,Night
C8,ASSAULT,113,Night
C8,BATTERY,686,Night
C8,BURGLARY,95,Night
C8,CONCEALED CARRY LICENSE VIOLATION,1,Night
C8,CRIM SEXUAL ASSAULT,73,Night
C8,CRIMINAL DAMAGE,232,Night
C8,CRIMINAL TRESPASS,110,Night
C8,DECEPTIVE PRACTICE,380,Night
C8,GAMBLING,1,Night
C8,HOMICIDE,4,Night
C8,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C8,KIDNAPPING,1,Night
C8,LIQUOR LAW VIOLATION,8,Night
C8,MOTOR VEHICLE THEFT,120,Night
C8,NARCOTICS,58,Night
C8,NON-CRIMINAL,1,Night
C8,OBSCENITY,1,Night
C8,OFFENSE INVOLVING CHILDREN,5,Night
C8,OTHER NARCOTIC VIOLATION,1,Night
C8,OTHER OFFENSE,71,Night
C8,PUBLIC INDECENCY,2,Night
C8,PUBLIC PEACE VIOLATION,14,Night
C8,ROBBERY,246,Night
C8,SEX OFFENSE,13,Night
C8,STALKING,2,Night
C8,THEFT,1221,Night
C8,WEAPONS VIOLATION,16,Night
C9,ARSON,1,Night
C9,ASSAULT,6,Night
C9,BATTERY,21,Night
C9,BURGLARY,1,Night
C9,CRIM SEXUAL ASSAULT,2,Night
C9,CRIMINAL DAMAGE,23,Night
C9,CRIMINAL TRESPASS,4,Night
C9,DECEPTIVE PRACTICE,2,Night
C9,MOTOR VEHICLE THEFT,4,Night
C9,NARCOTICS,1,Night
C9,OFFENSE INVOLVING CHILDREN,1,Night
C9,OTHER OFFENSE,9,Night
C9,ROBBERY,1,Night
C9,THEFT,22,Night
C9,WEAPONS VIOLATION,1,Night