value.Community,value.LocationDay,value.FrequencyDay
C1,APARTMENT,643
C1,STREET,546
C1,RESIDENCE,306
C2,STREET,531
C2,APARTMENT,450
C2,RESIDENCE,326
C3,APARTMENT,415
C3,STREET,402
C3,RESIDENCE,308
C4,STREET,247
C4,RESIDENCE,191
C4,APARTMENT,157
C5,STREET,214
C5,RESIDENCE,140
C5,APARTMENT,76
C6,STREET,616
C6,RESIDENCE,440
C6,APARTMENT,380
C7,STREET,895
C7,RESIDENCE,261
C7,OTHER,221
C8,STREET,1061
C8,DEPARTMENT STORE,1029
C8,RESTAURANT,936
C9,RESIDENCE,57
C9,STREET,29
C9,APARTMENT,14
C10,RESIDENCE,252
C10,STREET,121
C10,"SCHOOL, PUBLIC, BUILDING",39
C11,RESIDENCE,233
C11,STREET,161
C11,APARTMENT,52
C12,RESIDENCE,122
C12,STREET,86
C12,OTHER,17
C13,STREET,154
C13,RESIDENCE,106
C13,APARTMENT,60
C14,STREET,379
C14,RESIDENCE,239
C14,APARTMENT,236
C15,RESIDENCE,551
C15,STREET,479
C15,APARTMENT,179
C16,STREET,470
C16,RESIDENCE,355
C16,APARTMENT,263
C17,RESIDENCE,344
C17,STREET,191
C17,APARTMENT,72
C18,RESIDENCE,139
C18,STREET,62
C18,APARTMENT,53
C19,RESIDENCE,703
C19,STREET,656
C19,APARTMENT,352
C20,STREET,250
C20,RESIDENCE,236
C20,APARTMENT,124
C21,STREET,309
C21,RESIDENCE,258
C21,APARTMENT,201
C22,STREET,801
C22,RESIDENCE,391
C22,APARTMENT,389
C23,STREET,1300
C23,SIDEWALK,970
C23,RESIDENCE,815
C24,STREET,1654
C24,RESIDENCE,631
C24,APARTMENT,539
C25,STREET,2433
C25,RESIDENCE,1873
C25,APARTMENT,1546
C26,STREET,880
C26,SIDEWALK,738
C26,APARTMENT,496
C27,STREET,736
C27,APARTMENT,491
C27,SIDEWALK,466
C28,STREET,1559
C28,PARKING LOT/GARAGE(NON.RESID.),497
C28,OTHER,468
C29,STREET,1307
C29,SIDEWALK,1101
C29,APARTMENT,936
C30,STREET,828
C30,RESIDENCE,477
C30,APARTMENT,355
C31,STREET,353
C31,RESIDENCE,268
C31,APARTMENT,227
C32,RESTAURANT,1580
C32,DEPARTMENT STORE,960
C32,STREET,824
C33,STREET,243
C33,OTHER,164
C33,RESIDENCE,152
C34,STREET,172
C34,RESIDENCE,62
C34,SIDEWALK,50
C35,STREET,370
C35,APARTMENT,223
C35,RESIDENCE,208
C36,STREET,117
C36,APARTMENT,86
C36,RESIDENCE,79
C37,STREET,153
C37,RESIDENCE,69
C37,GAS STATION,53
C38,STREET,558
C38,APARTMENT,425
C38,RESIDENCE,345
C39,STREET,251
C39,APARTMENT,229
C39,RESIDENCE,165
C40,APARTMENT,468
C40,STREET,435
C40,RESIDENCE,256
C41,STREET,261
C41,APARTMENT,168
C41,RESIDENCE,152
C42,APARTMENT,719
C42,STREET,468
C42,RESIDENCE,385
C43,APARTMENT,1591
C43,STREET,1061
C43,RESIDENCE,1036
C44,APARTMENT,768
C44,STREET,751
C44,RESIDENCE,739
C45,RESIDENCE,225
C45,STREET,169
C45,"SCHOOL, PUBLIC, BUILDING",86
C46,RESIDENCE,806
C46,STREET,613
C46,APARTMENT,477
C47,RESIDENCE,82
C47,STREET,53
C47,SIDEWALK,15
C48,RESIDENCE,277
C48,STREET,221
C48,SIDEWALK,55
C49,RESIDENCE,1508
C49,STREET,1022
C49,SIDEWALK,349
C50,RESIDENCE,156
C50,STREET,134
C50,DEPARTMENT STORE,79
C51,RESIDENCE,317
C51,STREET,220
C51,OTHER,65
C52,RESIDENCE,225
C52,STREET,172
C52,APARTMENT,60
C53,RESIDENCE,1008
C53,STREET,615
C53,APARTMENT,175
C54,RESIDENCE,227
C54,STREET,167
C54,CHA APARTMENT,126
C55,RESIDENCE,155
C55,STREET,82
C55,PARKING LOT/GARAGE(NON.RESID.),26
C56,RESIDENCE,306
C56,STREET,213
C56,PARKING LOT/GARAGE(NON.RESID.),83
C57,RESIDENCE,112
C57,STREET,93
C57,OTHER,69
C58,STREET,303
C58,RESIDENCE,271
C58,APARTMENT,186
C59,STREET,149
C59,RESIDENCE,113
C59,APARTMENT,65
C60,STREET,232
C60,RESIDENCE,220
C60,APARTMENT,100
C61,STREET,711
C61,RESIDENCE,586
C61,APARTMENT,390
C62,RESIDENCE,194
C62,STREET,118
C62,APARTMENT,44
C63,RESIDENCE,366
C63,STREET,347
C63,APARTMENT,133
C64,RESIDENCE,185
C64,STREET,109
C64,OTHER,55
C65,RESIDENCE,302
C65,STREET,253
C65,DEPARTMENT STORE,104
C66,RESIDENCE,962
C66,STREET,805
C66,APARTMENT,517
C67,RESIDENCE,1428
C67,STREET,1044
C67,SIDEWALK,470
C68,RESIDENCE,889
C68,STREET,819
C68,APARTMENT,637
C69,STREET,920
C69,APARTMENT,821
C69,RESIDENCE,789
C70,RESIDENCE,544
C70,STREET,344
C70,OTHER,121
C71,RESIDENCE,1222
C71,STREET,1066
C71,APARTMENT,818
C72,RESIDENCE,179
C72,STREET,119
C72,PARKING LOT/GARAGE(NON.RESID.),33
C73,RESIDENCE,730
C73,STREET,462
C73,SIDEWALK,111
C74,RESIDENCE,136
C74,STREET,47
C74,RESIDENTIAL YARD (FRONT/BACK),19
C75,RESIDENCE,460
C75,STREET,266
C75,SMALL RETAIL STORE,77
C76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,156
C76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,151
C76,GOVERNMENT BUILDING/PROPERTY,92
C77,APARTMENT,327
C77,STREET,292
C77,RESIDENCE,218