value.Community,value.LocationNight,value.FrequencyNight
C1,STREET,269
C1,APARTMENT,249
C1,RESIDENCE,119
C2,STREET,364
C2,APARTMENT,185
C2,RESIDENCE,117
C3,STREET,182
C3,APARTMENT,182
C3,RESIDENCE,104
C4,STREET,161
C4,APARTMENT,65
C4,RESIDENCE,53
C5,STREET,96
C5,RESIDENCE,59
C5,RESIDENCE-GARAGE,27
C6,STREET,395
C6,SIDEWALK,260
C6,BAR OR TAVERN,241
C7,STREET,305
C7,APARTMENT,101
C7,RESIDENCE,94
C8,STREET,702
C8,BAR OR TAVERN,497
C8,SIDEWALK,425
C9,STREET,19
C9,RESIDENCE,19
C9,SIDEWALK,11
C10,STREET,87
C10,RESIDENCE,74
C10,APARTMENT,19
C11,STREET,91
C11,RESIDENCE,52
C11,APARTMENT,20
C12,STREET,66
C12,RESIDENCE,33
C12,APARTMENT,10
C13,STREET,106
C13,APARTMENT,30
C13,SIDEWALK,15
C14,STREET,255
C14,APARTMENT,105
C14,RESIDENCE,79
C15,STREET,312
C15,RESIDENCE,213
C15,APARTMENT,109
C16,STREET,316
C16,APARTMENT,125
C16,RESIDENCE,108
C17,RESIDENCE,135
C17,STREET,123
C17,APARTMENT,40
C18,RESIDENCE,55
C18,STREET,51
C18,APARTMENT,26
C19,STREET,460
C19,RESIDENCE,244
C19,APARTMENT,148
C20,STREET,146
C20,RESIDENCE,73
C20,APARTMENT,70
C21,STREET,239
C21,APARTMENT,117
C21,RESIDENCE,93
C22,STREET,518
C22,APARTMENT,179
C22,RESIDENCE,173
C23,STREET,710
C23,APARTMENT,327
C23,RESIDENCE,308
C24,STREET,924
C24,APARTMENT,240
C24,SIDEWALK,240
C25,STREET,1419
C25,APARTMENT,783
C25,RESIDENCE,665
C26,STREET,457
C26,APARTMENT,258
C26,SIDEWALK,226
C27,STREET,392
C27,APARTMENT,280
C27,RESIDENCE,152
C28,STREET,711
C28,APARTMENT,221
C28,SIDEWALK,166
C29,STREET,618
C29,APARTMENT,510
C29,RESIDENCE,359
C30,STREET,459
C30,APARTMENT,224
C30,RESIDENCE,186
C31,STREET,231
C31,APARTMENT,123
C31,RESIDENCE,103
C32,STREET,246
C32,SIDEWALK,145
C32,RESTAURANT,138
C33,STREET,116
C33,RESIDENCE,57
C33,APARTMENT,51
C34,STREET,80
C34,RESIDENCE,30
C34,SIDEWALK,29
C35,STREET,140
C35,APARTMENT,120
C35,RESIDENCE,68
C36,APARTMENT,62
C36,STREET,57
C36,RESIDENCE,32
C37,STREET,65
C37,RESIDENCE,29
C37,APARTMENT,24
C38,STREET,279
C38,APARTMENT,205
C38,RESIDENCE,109
C39,STREET,132
C39,APARTMENT,93
C39,RESIDENCE,71
C40,APARTMENT,243
C40,STREET,182
C40,RESIDENCE,89
C41,STREET,103
C41,APARTMENT,80
C41,RESIDENCE,49
C42,APARTMENT,330
C42,STREET,299
C42,RESIDENCE,167
C43,APARTMENT,849
C43,STREET,631
C43,RESIDENCE,459
C44,STREET,432
C44,APARTMENT,420
C44,RESIDENCE,314
C45,STREET,108
C45,RESIDENCE,103
C45,APARTMENT,24
C46,RESIDENCE,367
C46,STREET,360
C46,APARTMENT,275
C47,RESIDENCE,40
C47,STREET,28
C47,SIDEWALK,19
C48,STREET,165
C48,RESIDENCE,114
C48,APARTMENT,21
C49,RESIDENCE,616
C49,STREET,549
C49,APARTMENT,159
C50,STREET,68
C50,RESIDENCE,64
C50,APARTMENT,15
C51,RESIDENCE,166
C51,STREET,108
C51,APARTMENT,27
C52,RESIDENCE,140
C52,STREET,123
C52,APARTMENT,35
C53,RESIDENCE,447
C53,STREET,323
C53,APARTMENT,95
C54,STREET,86
C54,RESIDENCE,79
C54,CHA APARTMENT,56
C55,RESIDENCE,59
C55,STREET,53
C55,PARKING LOT/GARAGE(NON.RESID.),19
C56,RESIDENCE,137
C56,STREET,134
C56,RESIDENCE-GARAGE,30
C57,STREET,82
C57,RESIDENCE,50
C57,PARKING LOT/GARAGE(NON.RESID.),19
C58,STREET,246
C58,RESIDENCE,155
C58,APARTMENT,85
C59,STREET,157
C59,RESIDENCE,52
C59,APARTMENT,32
C60,STREET,151
C60,RESIDENCE,98
C60,APARTMENT,45
C61,STREET,471
C61,APARTMENT,234
C61,RESIDENCE,225
C62,STREET,101
C62,RESIDENCE,68
C62,APARTMENT,22
C63,STREET,204
C63,RESIDENCE,158
C63,APARTMENT,62
C64,RESIDENCE,80
C64,STREET,75
C64,APARTMENT,26
C65,STREET,159
C65,RESIDENCE,117
C65,RESIDENCE-GARAGE,39
C66,STREET,476
C66,RESIDENCE,346
C66,APARTMENT,272
C67,RESIDENCE,608
C67,STREET,559
C67,SIDEWALK,206
C68,STREET,543
C68,RESIDENCE,411
C68,APARTMENT,273
C69,STREET,580
C69,APARTMENT,470
C69,RESIDENCE,343
C70,RESIDENCE,192
C70,STREET,191
C70,OTHER,36
C71,STREET,640
C71,RESIDENCE,530
C71,APARTMENT,407
C72,RESIDENCE,62
C72,STREET,54
C72,RESIDENCE-GARAGE,13
C73,RESIDENCE,248
C73,STREET,241
C73,APARTMENT,41
C74,RESIDENCE,62
C74,STREET,46
C74,RESIDENTIAL YARD (FRONT/BACK),11
C75,RESIDENCE,165
C75,STREET,116
C75,SIDEWALK,23
C76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,37
C76,AIRPORT VENDING ESTABLISHMENT,34
C76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,33
C77,STREET,167
C77,APARTMENT,147
C77,RESIDENCE,77